epoch_s,monotonic_s,system_percent,process_percent,frequency_mhz,package_temp_c,rss_mib
1788466598.6557071,99918.830574454,0.0,0.0,2.4051666666666667,55.0,749.1171875
1788466598.831648,99919.006516408,1.9,17.0,0.8277083333333337,55.0,749.1796875
1788466598.9726043,99919.147472464,0.6,21.3,0.8000000000000003,55.0,749.19140625
1788466599.1190057,99919.29387376,1.1,20.5,0.975541666666667,55.0,749.20703125
1788466599.2682061,99919.443074079,0.8,26.8,0.9145833333333336,55.0,749.20703125
1788466599.4141445,99919.589012686,1.1,20.6,0.9354166666666671,55.0,749.21484375
1788466599.566216,99919.741083992,1.1,26.3,1.582458333333333,55.0,749.21875
1788466599.7137697,99919.888637596,1.4,27.1,0.842666666666667,53.0,749.21875
1788466599.9030347,99920.077902284,1.8,21.1,0.8000000000000003,53.0,749.22265625
1788466600.3473408,99920.522208409,0.3,4.5,1.0447083333333338,53.0,749.23046875
1788466600.489873,99920.664740385,0.9,21.1,1.6403333333333332,53.0,749.23046875
1788466600.6361525,99920.811019965,1.4,27.3,0.866666666666667,53.0,749.234375
1788466600.7798014,99920.954668557,1.5,20.9,1.2338333333333338,53.0,749.234375
1788466600.9825783,99921.157445686,2.9,19.7,1.53775,53.0,749.234375
1788466601.144663,99921.31953037,1.5,12.3,1.010291666666667,53.0,749.234375
1788466601.3158793,99921.490746814,1.0,17.5,0.8807500000000004,53.0,749.234375
1788466601.4866471,99921.661515122,1.0,23.4,1.7149166666666666,53.0,749.234375
1788466601.6599054,99921.834773468,1.0,23.1,0.8651250000000003,53.0,749.234375
1788466601.8341937,99922.009061562,1.0,17.2,0.8412083333333338,55.0,749.23828125
1788466602.0384953,99922.213362703,1.4,19.6,0.8000000000000003,55.0,749.23828125
1788466602.2112281,99922.386096242,1.0,17.4,0.9113333333333338,55.0,749.23828125
1788466602.3860521,99922.56092013,1.0,17.2,0.9759583333333334,55.0,749.23828125
1788466602.5615351,99922.736403411,1.0,22.8,0.8231666666666669,55.0,749.23828125
1788466602.7250035,99922.899871572,0.8,18.4,0.8472083333333336,55.0,749.23828125
1788466602.897977,99923.072844529,1.0,23.1,0.958916666666667,55.0,749.23828125
1788466603.0363696,99923.211237153,0.9,21.7,0.9212500000000002,54.0,749.23828125
1788466603.2155716,99923.390439636,1.6,16.7,0.8834166666666668,54.0,749.23828125
1788466603.355191,99923.530058542,0.9,21.5,0.8679166666666669,54.0,749.2421875
1788466603.5029237,99923.677791811,1.1,20.3,0.8166250000000003,54.0,749.24609375
1788466603.6494687,99923.824336542,1.1,20.5,0.879166666666667,54.0,749.25
1788466603.7964098,99923.971276839,5.2,129.3,2.0435416666666666,54.0,749.6171875
1788466603.941514,99924.116380949,10.7,275.8,3.2288750000000004,54.0,749.6640625
1788466604.0768604,99924.251727424,9.6,280.7,3.089916666666667,54.0,749.71484375
1788466604.2628932,99924.437760223,12.4,279.5,3.6462916666666665,54.0,749.73828125
1788466604.4009032,99924.575770007,12.2,289.5,3.666208333333332,54.0,749.73828125
1788466604.5356445,99924.710511438,10.2,266.6,2.3400416666666666,54.0,749.73828125
1788466604.6723356,99924.847202549,11.2,279.0,3.664666666666666,54.0,749.74609375
1788466604.8120687,99924.986935655,10.9,271.6,3.6662083333333317,54.0,749.75
1788466604.947529,99925.12239588,9.3,266.1,3.613124999999999,54.0,749.75
1788466605.084196,99925.259063109,12.1,278.1,3.233708333333333,54.0,749.7578125
1788466605.2212293,99925.396096138,12.8,270.0,3.6665000000000005,55.0,749.765625
1788466605.4026434,99925.577510742,14.6,275.5,2.24675,55.0,749.765625
1788466605.5461638,99925.721032857,10.7,271.9,3.666208333333333,55.0,749.77734375
1788466605.681532,99925.85639901,9.9,265.9,2.652416666666667,55.0,749.7890625
1788466605.8200536,99925.994920501,12.4,281.6,2.7780416666666663,55.0,749.7890625
1788466605.9566755,99926.131542581,11.8,270.8,3.5359999999999996,55.0,749.79296875
1788466606.0927477,99926.267614651,12.1,279.3,3.666374999999999,55.0,749.79296875
1788466606.226781,99926.401647974,11.7,276.0,2.2626250000000003,55.0,749.796875
1788466606.3649986,99926.539865582,10.9,267.7,2.3148333333333335,55.0,749.80078125
1788466606.547644,99926.722511022,12.1,279.2,2.4922083333333327,55.0,749.80078125
1788466606.681404,99926.85627128,12.0,276.2,3.267041666666667,55.0,749.81640625
1788466606.8177574,99926.99262428,11.0,271.8,3.666541666666666,55.0,749.81640625
1788466606.9551463,99927.130013216,10.9,283.3,3.298208333333333,55.0,749.8203125
1788466607.0925376,99927.267404511,10.1,277.0,2.055416666666667,55.0,749.8203125
1788466607.2283273,99927.403193995,13.2,279.9,3.666499999999999,55.0,749.8203125
1788466607.372233,99927.547099908,11.5,264.0,3.3639999999999994,55.0,749.8203125
1788466607.514376,99927.689242853,12.6,274.4,3.6543749999999995,58.0,749.8203125
1788466607.707621,99927.882488148,10.8,274.2,3.604041666666667,58.0,749.8203125
1788466607.851219,99928.026085916,10.7,278.6,3.6662499999999993,58.0,749.82421875
1788466607.985615,99928.160482148,11.7,275.3,3.6277916666666656,58.0,749.8359375
1788466608.1196485,99928.294515469,11.1,275.6,3.6661249999999996,58.0,749.84375
1788466608.2608168,99928.435683998,11.4,276.5,3.2729166666666676,58.0,752.35546875
1788466608.3995404,99928.57440755,13.0,288.5,3.664666666666666,58.0,753.29296875
1788466608.5341542,99928.709021215,11.1,297.2,3.666,58.0,753.29296875
1788466608.6695216,99928.844388676,12.2,288.1,2.487083333333333,58.0,754.48828125
1788466608.8493562,99929.024223391,11.4,277.8,3.666291666666666,58.0,754.48828125
1788466608.9867039,99929.161571018,10.7,284.3,2.7306666666666666,58.0,754.48828125
1788466609.2194805,99929.394347685,5.3,154.6,0.956416666666667,58.0,754.48828125
1788466609.5344484,99929.709315489,12.0,276.2,2.666416666666666,58.0,754.48828125
1788466609.685096,99929.859962972,12.3,278.8,3.0668749999999996,58.0,754.4921875
1788466609.8253813,99930.000248371,15.2,285.1,3.6664166666666653,57.0,754.49609375
1788466610.015571,99930.190438137,13.1,299.2,2.8506249999999995,57.0,754.49609375
1788466610.155655,99930.330522227,10.7,285.3,2.035916666666666,57.0,754.5
1788466610.2978199,99930.472687048,12.8,296.1,2.592916666666667,57.0,754.5
1788466610.4449813,99930.619848543,10.0,278.5,2.0997500000000007,57.0,754.5
1788466610.5997853,99930.774652264,11.4,297.3,3.6661249999999987,57.0,754.5
1788466610.7368648,99930.911731829,10.7,284.5,3.6268333333333334,57.0,754.5
