cpu 0 pkg 0 die 0 l3 0 node 0 lnode 0 core 0 ht_id 0 siblings 0 1 -1 -1
cpu 1 pkg 0 die 0 l3 0 node 0 lnode 0 core 0 ht_id 1 siblings 0 1 -1 -1
cpu 2 pkg 0 die 0 l3 0 node 0 lnode 0 core 4 ht_id 0 siblings 2 3 -1 -1
cpu 3 pkg 0 die 0 l3 0 node 0 lnode 0 core 4 ht_id 1 siblings 2 3 -1 -1
cpu 4 pkg 0 die 0 l3 0 node 0 lnode 0 core 8 ht_id 0 siblings 4 5 -1 -1
cpu 5 pkg 0 die 0 l3 0 node 0 lnode 0 core 8 ht_id 1 siblings 4 5 -1 -1
cpu 6 pkg 0 die 0 l3 0 node 0 lnode 0 core 12 ht_id 0 siblings 6 7 -1 -1
cpu 7 pkg 0 die 0 l3 0 node 0 lnode 0 core 12 ht_id 1 siblings 6 7 -1 -1
cpu 8 pkg 0 die 0 l3 0 node 0 lnode 0 core 16 ht_id 0 siblings 8 9 -1 -1
cpu 9 pkg 0 die 0 l3 0 node 0 lnode 0 core 16 ht_id 1 siblings 8 9 -1 -1
cpu 10 pkg 0 die 0 l3 0 node 0 lnode 0 core 20 ht_id 0 siblings 10 11 -1 -1
cpu 11 pkg 0 die 0 l3 0 node 0 lnode 0 core 20 ht_id 1 siblings 10 11 -1 -1
cpu 12 pkg 0 die 0 l3 0 node 0 lnode 0 core 24 ht_id 0 siblings 12 13 -1 -1
cpu 13 pkg 0 die 0 l3 0 node 0 lnode 0 core 24 ht_id 1 siblings 12 13 -1 -1
cpu 14 pkg 0 die 0 l3 0 node 0 lnode 0 core 28 ht_id 0 siblings 14 15 -1 -1
cpu 15 pkg 0 die 0 l3 0 node 0 lnode 0 core 28 ht_id 1 siblings 14 15 -1 -1
cpu 16 pkg 0 die 0 l3 0 node 0 lnode 0 core 32 ht_id 0 siblings 16 -1 -1 -1
cpu 17 pkg 0 die 0 l3 0 node 0 lnode 0 core 33 ht_id 0 siblings 17 -1 -1 -1
cpu 18 pkg 0 die 0 l3 0 node 0 lnode 0 core 34 ht_id 0 siblings 18 -1 -1 -1
cpu 19 pkg 0 die 0 l3 0 node 0 lnode 0 core 35 ht_id 0 siblings 19 -1 -1 -1
cpu 20 pkg 0 die 0 l3 0 node 0 lnode 0 core 36 ht_id 0 siblings 20 -1 -1 -1
cpu 21 pkg 0 die 0 l3 0 node 0 lnode 0 core 37 ht_id 0 siblings 21 -1 -1 -1
cpu 22 pkg 0 die 0 l3 0 node 0 lnode 0 core 38 ht_id 0 siblings 22 -1 -1 -1
cpu 23 pkg 0 die 0 l3 0 node 0 lnode 0 core 39 ht_id 0 siblings 23 -1 -1 -1
Time_Of_Day_Seconds	Busy%	Bzy_MHz	PkgTmp	PkgWatt	CorWatt
1788466596.469081	0.94	1337	49	11.10	3.18
1788466596.570147	1.68	1958	49	10.68	3.59
1788466596.670769	72.90	3740	62	79.03	70.21
1788466596.772423	56.01	3779	68	70.79	61.57
1788466596.874075	4.56	5038	71	40.70	31.91
1788466596.975645	4.40	5059	71	40.35	31.81
1788466597.077387	4.36	5104	71	40.55	31.86
1788466597.178913	4.42	5060	71	40.13	31.52
1788466597.280614	4.53	5013	71	41.80	32.99
1788466597.382253	4.51	5060	73	42.94	34.27
1788466597.483968	4.42	5096	71	39.53	30.63
1788466597.585937	4.36	5069	73	42.84	34.19
1788466597.686507	87.54	3739	63	91.04	81.51
1788466597.788280	41.14	3816	74	63.52	54.84
1788466597.889747	4.46	5016	75	41.98	33.42
1788466597.991382	4.38	5063	73	40.85	32.21
1788466598.093477	3.65	5074	53	31.52	23.20
1788466598.195628	0.29	1350	51	8.00	1.05
1788466598.298097	0.41	1162	50	8.38	1.31
1788466598.400034	3.74	3809	69	24.25	15.65
1788466598.502628	4.43	5037	71	38.34	29.82
1788466598.603880	4.28	4066	53	31.31	22.52
1788466598.705565	14.40	2812	55	29.78	21.13
1788466598.807784	1.09	4232	51	14.97	7.80
1788466598.910037	6.27	2839	51	15.68	7.39
1788466599.013498	5.84	2058	50	9.43	2.32
1788466599.116050	0.93	2746	50	10.64	3.61
1788466599.218167	6.80	2088	50	13.01	5.31
1788466599.319795	6.62	2368	50	13.29	5.51
1788466599.422169	0.57	1434	50	8.16	1.21
1788466599.524598	6.74	2183	50	11.38	4.23
1788466599.626491	6.94	2177	51	13.27	5.02
1788466599.731409	1.26	1596	50	7.93	1.23
1788466599.833282	7.54	2600	50	19.72	10.96
1788466599.935385	0.45	1325	50	8.73	1.37
1788466600.037855	0.27	1254	50	7.24	0.55
1788466600.140437	0.33	1062	50	6.68	0.26
1788466600.242859	5.64	3006	54	12.27	4.98
1788466600.344763	0.67	2510	50	11.20	3.71
1788466600.446675	6.21	2382	49	13.85	5.73
1788466600.548712	6.46	2311	50	13.14	5.18
1788466600.656663	1.55	1786	49	8.25	1.51
1788466600.758589	5.49	2530	49	14.49	5.78
1788466600.860210	6.94	3161	49	16.97	8.94
1788466600.962044	4.27	3721	51	29.48	20.86
1788466601.063652	7.81	2343	51	17.41	8.81
1788466601.165663	0.75	1720	50	11.20	2.81
1788466601.267879	6.30	2340	50	12.19	4.86
1788466601.371293	3.58	1667	50	9.73	1.72
1788466601.473684	3.12	2946	49	12.18	4.98
1788466601.575925	6.72	2210	50	12.94	5.19
1788466601.677922	0.78	1459	50	8.71	1.36
1788466601.780214	6.60	2178	50	13.05	4.82
1788466601.883611	2.63	2243	53	8.67	1.58
1788466601.985686	5.15	3780	50	21.62	13.11
1788466602.089177	2.15	1491	50	8.93	1.37
