model_variant,device,precision,batch_size,unique_images,repetitions,collected_inferences,correct_unique_images,accuracy_percent,accuracy_wilson95_low_percent,accuracy_wilson95_high_percent,latency_mean_ms,latency_median_ms,latency_std_ms,latency_cv_percent,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,latency_mean_pass_ci95_low_ms,latency_mean_pass_ci95_high_ms,throughput_mean_fps,throughput_median_fps,throughput_std_fps,throughput_mean_ci95_low_fps,throughput_mean_ci95_high_fps,throughput_effective_fps,wall_time_total_s,power_total_mean_w,power_total_std_w,power_total_min_w,power_total_max_w,power_sensor_1s_mean_w,power_dynamic_mean_w,energy_per_inference_mj,dynamic_energy_per_inference_mj,gpu_utilization_percent_mean,gpu_utilization_percent_std,memory_utilization_percent_mean,memory_used_mib_mean,gpu_clock_sm_mhz_mean,gpu_clock_sm_mhz_std,gpu_clock_memory_mhz_mean,gpu_temperature_c_mean,gpu_temperature_c_max,fan_speed_percent_mean,energy_total_j,energy_dynamic_j,power_samples_total,prediction_sha256
no_softmax_logits,GPU,float32,1,100,10,1000,99,99.0,94.55138038212945,99.82325679358594,0.3609899407029152,0.30136799812316895,0.18568041733979992,51.43645193498891,0.5746406793594361,0.7297335326671599,0.9930438464879989,0.1940770000219345,1.664320945739746,0.2859523365295501,0.43602754487628026,2185.440860591848,2163.6211939870673,562.4038019728138,1836.8657779798996,2534.0159432037963,2039.4646110289684,0.49032476199499797,27.81,0.0,27.81,27.81,27.83,0.15899999999999537,14.909573467561493,0.08524351604970186,5.0,0.0,1.0,712.0,1755.0,0.0,6801.0,44.0,44.0,31.0,nan,nan,4,ac3023a27ceabb6c72cb090d4b1c1de455826ac2ed7041408df172f614329811
no_softmax_logits,GPU,float32,1,100,20,2000,99,99.0,94.55138038212945,99.82325679358594,0.3715727787539363,0.3343455046415329,0.17485747183818226,47.058741069398074,0.5687122821807862,0.6968529820442199,0.9480406141281127,0.19196900725364685,1.664320945739746,0.31896875539544106,0.42417680211243153,2097.284003358235,2073.9901460268447,542.0066405259264,1859.7434845766538,2334.8245221398165,1959.7240011702552,1.020551873021759,28.42111111111111,0.0,28.42111111111111,28.42111111111111,28.06888888888889,0.7701111111111073,15.576319577815108,0.42764220511768536,15.0,0.0,1.0,712.0,1755.0,0.0,6801.0,43.44444444444444,43.44444444444444,31.0,nan,nan,9,ac3023a27ceabb6c72cb090d4b1c1de455826ac2ed7041408df172f614329811
no_softmax_logits,GPU,float32,1,100,50,5000,99,99.0,94.55138038212945,99.82325679358594,0.31874583922326566,0.26085349917411804,0.14789720079485819,46.39972749299592,0.522406005859375,0.5821356773376466,0.8558136540651335,0.18967999517917633,1.664320945739746,0.29062360899613465,0.34686806945039667,2345.539644759475,2472.0968722133334,511.3769687044253,2203.7957854371134,2487.2835040818363,2220.6705114580595,2.2515722049720353,28.46047619047619,0.0,28.46047619047619,28.46047619047619,28.47666666666667,0.8094761904761864,14.096825600352759,0.40324266266425407,18.571428571428573,0.0,1.0,707.2857142857143,1755.0,0.0,6801.0,43.76190476190476,43.76190476190476,30.857142857142858,nan,nan,21,ac3023a27ceabb6c72cb090d4b1c1de455826ac2ed7041408df172f614329811
no_softmax_logits,GPU,float32,1,100,100,10000,99,99.0,94.55138038212945,99.82325679358594,0.2835192681893706,0.2198529988527298,0.12617099684469557,44.50173621371736,0.46550999283790595,0.5363145917654035,0.7500767713785178,0.18967999517917633,1.664320945739746,0.26566575398297804,0.3013727823957631,2665.6121357145503,2779.4507931859152,601.2670797737619,2547.765953569936,2783.4583178591647,2507.822262547891,3.98752341796353,28.2515,0.0,28.2515,28.2515,28.264499999999998,0.600499999999996,12.394547209838382,0.2777177980762445,20.875,0.0,1.0,704.3,1755.0,0.0,6801.0,43.875,43.875,30.8,nan,nan,40,ac3023a27ceabb6c72cb090d4b1c1de455826ac2ed7041408df172f614329811
no_softmax_logits,GPU,float32,1,1000,10,10000,988,98.8,97.91427315245016,99.31223521935965,0.2585975677341223,0.21184100210666656,0.10627390803035056,41.09625197233731,0.398318487405777,0.5053340941667556,0.6537716597318652,0.18618300557136536,1.8286629915237427,0.23341107742849393,0.28378405803975065,2728.109093515185,2647.3868638160657,400.1035595961088,2480.126894870145,2976.0912921602253,2677.084799903684,3.7354065139661543,28.097,0.07305787392183485,28.044999999999998,28.178000000000004,28.059999999999995,0.4459999999999969,10.501047234572727,0.17227468280491284,23.665,0.37863353450309967,1.0,702.575,1755.0,0.0,6801.0,44.0,44.0,30.668333333333333,105.01047234572728,1.7227468280491285,38,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9
no_softmax_logits,GPU,float32,1,1000,20,20000,988,98.8,97.91427315245016,99.31223521935965,0.28141444439515473,0.21874049305915833,0.12559196644234802,44.62882731989233,0.46779799163341557,0.5420951306819916,0.7402929133176798,0.18618300557136536,1.8286629915237427,0.25666861686775144,0.306160271922558,2533.2695033303307,2532.401878054857,407.6266603640964,2354.622525355788,2711.9164813048733,2468.764184277644,8.10121927698492,28.567925000000002,0.06626124538920382,28.517500000000002,28.64050000000001,28.513074999999997,0.9169249999999964,11.587290111922002,0.38694940052650023,25.3825,0.30478682108947497,1.25,708.0875,1755.0,0.0,6801.0,44.1625,44.2,30.613333333333333,231.7458022384401,7.738988010530005,81,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9
no_softmax_logits,GPU,float32,1,1000,50,50000,988,98.8,97.91427315245016,99.31223521935965,0.26839530051350596,0.21643900126218796,0.11139602959049684,41.50446351980416,0.4235312908887861,0.5197979748249053,0.674056333899498,0.18618300557136536,1.8286629915237427,0.25447460107442416,0.28231599995258766,2643.693405590404,2682.1783429566385,378.85883752343153,2538.6810232279245,2748.7057879528834,2587.041579472,19.327095627973904,28.270696666666666,0.0594971832912556,28.222800000000003,28.336799999999997,28.273086666666664,0.6196966666666632,10.937162838414643,0.24889241423251338,24.444666666666667,0.48791715903677096,1.1,704.451,1755.0,0.0,6801.0,44.665,44.68,30.740333333333332,546.8581419207321,12.444620711625669,194,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9
no_softmax_logits,GPU,float32,1,1000,100,100000,988,98.8,97.91427315245016,99.31223521935965,0.2846958544665575,0.22517800331115723,0.1375104396949241,48.30082262791681,0.4656958937644959,0.5446879744529722,0.808950363993644,0.18523600697517395,5.305290222167969,0.27399107643525605,0.29540063249785903,2493.4361961127643,2458.778393590318,407.63560185469504,2413.541086267613,2573.3313059579154,2425.7247791846094,41.22479221802496,28.728775,0.07381899758706491,28.6608,28.802199999999992,28.705189999999998,1.0777749999999968,11.871333839061949,0.47226654285586256,24.988666666666667,0.653849998888554,1.3195,719.1786666666667,1755.0,0.0,6801.0,45.47783333333333,45.52,30.64216666666667,1187.1333839061945,47.22665428558625,411,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9
no_softmax_logits,GPU,float32,1,10000,10,100000,9898,98.98,98.76339875739157,99.15898476221695,0.24623489063337445,0.21265249699354172,0.08828184646748946,35.85269587116905,0.3389274001121521,0.43170150369405735,0.6122605311870567,0.18804900348186493,2.1020710468292236,0.23543570070340802,0.257034080563341,2735.8794981317524,2741.567396206045,141.52665945812518,2648.161977660947,2823.597018602558,2729.2301404591267,36.64036920799117,28.642790285469697,0.25549251029291636,28.375,29.210999999999995,28.651221333841924,0.9917902854696937,10.495709489789457,0.3642810000878155,23.97661368220192,2.534480637193205,1.1732304702892937,707.3718954248366,1755.0,0.0,6801.0,47.51142857142857,47.6,31.0,1049.5709489789456,36.42810000878155,362,2e1bd57ae813232b84b89428876c305a3cd6f07dd5b2f8f8566f808aec004beb
no_softmax_logits,GPU,float32,1,10000,20,200000,9898,98.98,98.76339875739157,99.15898476221695,0.2506445329332352,0.21238400042057037,0.09185773000406725,36.6486070647851,0.3593670010566712,0.45496729314327233,0.6082708096504219,0.17989100515842438,2.1020710468292236,0.24273034135384505,0.2585587245126253,2716.6660683120417,2731.7410412881923,137.08547736045986,2656.58681286597,2776.7453237581135,2709.9666102913475,73.80164731199329,28.548273939297975,0.1654766830223658,28.3615,28.893999999999995,28.55331407331489,0.8972739392979683,10.53472955896929,0.3312828098496562,22.621743479351842,2.340300633324923,1.0866152351446468,703.688650415121,1755.0,0.0,6801.0,48.102579365079364,48.2,31.0,2106.945911793858,66.25656196993125,730,2e1bd57ae813232b84b89428876c305a3cd6f07dd5b2f8f8566f808aec004beb
