monotonic_s,timestamp,pstate,power_instant_w,power_average_w,utilization_gpu_percent,utilization_memory_percent,memory_used_mib,clock_sm_mhz,clock_memory_mhz,temperature_c,fan_speed_percent
94063.153919439,2026/09/03 15:39:02.974,P2,27.41,25.89,2.0,1.0,705.0,1755.0,6801.0,42.0,31.0
94063.254908819,2026/09/03 15:39:03.079,P2,27.41,25.89,2.0,1.0,705.0,1755.0,6801.0,42.0,31.0
94063.355723748,2026/09/03 15:39:03.180,P2,27.41,25.89,2.0,1.0,705.0,1755.0,6801.0,42.0,31.0
94063.456522074,2026/09/03 15:39:03.280,P2,27.41,25.89,2.0,1.0,705.0,1755.0,6801.0,42.0,31.0
94063.557391856,2026/09/03 15:39:03.381,P2,27.41,25.89,2.0,1.0,705.0,1755.0,6801.0,42.0,31.0
94063.658318539,2026/09/03 15:39:03.482,P2,27.07,27.17,1.0,1.0,705.0,1755.0,6801.0,43.0,31.0
94063.759185182,2026/09/03 15:39:03.583,P2,27.07,27.17,1.0,1.0,705.0,1755.0,6801.0,43.0,31.0
94063.860061609,2026/09/03 15:39:03.684,P2,27.07,27.17,1.0,1.0,705.0,1755.0,6801.0,43.0,31.0
94063.961015127,2026/09/03 15:39:03.785,P2,27.07,27.17,1.0,1.0,705.0,1755.0,6801.0,43.0,31.0
94064.062137748,2026/09/03 15:39:03.886,P2,27.07,27.17,1.0,1.0,705.0,1755.0,6801.0,43.0,31.0
94064.163166751,2026/09/03 15:39:03.987,P2,27.14,27.18,1.0,1.0,705.0,1755.0,6801.0,43.0,31.0
94064.264157776,2026/09/03 15:39:04.088,P2,27.14,27.18,1.0,1.0,705.0,1755.0,6801.0,43.0,31.0
94064.365082048,2026/09/03 15:39:04.189,P2,27.14,27.18,1.0,1.0,705.0,1755.0,6801.0,43.0,31.0
94064.46591426,2026/09/03 15:39:04.290,P2,27.14,27.18,1.0,1.0,699.0,1755.0,6801.0,43.0,31.0
94064.566961975,2026/09/03 15:39:04.391,P2,27.14,27.18,1.0,1.0,705.0,1755.0,6801.0,43.0,31.0
94064.667896187,2026/09/03 15:39:04.492,P2,28.12,27.22,6.0,2.0,709.0,1755.0,6801.0,43.0,31.0
94064.769019181,2026/09/03 15:39:04.593,P2,28.12,27.22,6.0,2.0,708.0,1755.0,6801.0,43.0,31.0
94064.869865091,2026/09/03 15:39:04.694,P2,28.12,27.22,6.0,2.0,708.0,1755.0,6801.0,43.0,31.0
94064.970729131,2026/09/03 15:39:04.794,P2,28.12,27.22,6.0,2.0,708.0,1755.0,6801.0,43.0,31.0
94065.071572111,2026/09/03 15:39:04.895,P2,28.12,27.22,6.0,2.0,708.0,1755.0,6801.0,43.0,31.0
94065.172531229,2026/09/03 15:39:04.996,P2,27.74,27.48,6.0,2.0,708.0,1755.0,6801.0,43.0,31.0
94065.273367376,2026/09/03 15:39:05.097,P2,27.74,27.48,6.0,2.0,708.0,1755.0,6801.0,43.0,31.0
94065.374180846,2026/09/03 15:39:05.198,P2,27.74,27.48,6.0,2.0,708.0,1755.0,6801.0,43.0,31.0
94065.47501833,2026/09/03 15:39:05.299,P2,27.74,27.48,6.0,2.0,708.0,1755.0,6801.0,43.0,31.0
94065.575941807,2026/09/03 15:39:05.400,P2,27.74,27.48,6.0,2.0,708.0,1755.0,6801.0,43.0,31.0
94065.676928122,2026/09/03 15:39:05.501,P2,27.73,27.8,5.0,1.0,708.0,1755.0,6801.0,43.0,31.0
94065.777854847,2026/09/03 15:39:05.602,P2,27.73,27.8,5.0,1.0,708.0,1755.0,6801.0,43.0,31.0
94065.878674377,2026/09/03 15:39:05.702,P2,27.73,27.8,5.0,1.0,708.0,1755.0,6801.0,43.0,31.0
94065.979532702,2026/09/03 15:39:05.803,P2,27.73,27.8,5.0,1.0,708.0,1755.0,6801.0,43.0,31.0
94066.080345152,2026/09/03 15:39:05.904,P2,27.73,27.8,5.0,1.0,708.0,1755.0,6801.0,43.0,31.0
94066.18121499,2026/09/03 15:39:06.005,P2,27.73,27.81,5.0,1.0,708.0,1755.0,6801.0,43.0,31.0
94066.282355437,2026/09/03 15:39:06.106,P2,27.73,27.81,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94066.383584783,2026/09/03 15:39:06.207,P2,27.73,27.81,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94066.484523608,2026/09/03 15:39:06.308,P2,27.73,27.81,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94066.585481851,2026/09/03 15:39:06.409,P2,27.73,27.81,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94066.686525521,2026/09/03 15:39:06.510,P2,27.77,27.82,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94066.787481744,2026/09/03 15:39:06.611,P2,27.77,27.82,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94066.888456461,2026/09/03 15:39:06.712,P2,27.77,27.82,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94066.989382748,2026/09/03 15:39:06.813,P2,27.77,27.82,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94067.090342413,2026/09/03 15:39:06.914,P2,27.77,27.82,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94067.191309851,2026/09/03 15:39:07.015,P2,27.91,27.82,5.0,1.0,712.0,1755.0,6801.0,43.0,30.0
94067.292186687,2026/09/03 15:39:07.116,P2,27.91,27.82,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94067.393124344,2026/09/03 15:39:07.217,P2,27.91,27.82,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94067.494083029,2026/09/03 15:39:07.318,P2,27.91,27.82,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94067.595117562,2026/09/03 15:39:07.419,P2,27.91,27.82,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94067.69607968,2026/09/03 15:39:07.520,P2,27.89,27.81,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94067.79701834,2026/09/03 15:39:07.621,P2,27.89,27.81,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94067.898086656,2026/09/03 15:39:07.722,P2,27.89,27.81,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94067.999067117,2026/09/03 15:39:07.823,P2,27.89,27.81,5.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94068.100100917,2026/09/03 15:39:07.924,P2,27.89,27.81,5.0,1.0,712.0,1755.0,6801.0,43.0,30.0
94068.201277216,2026/09/03 15:39:08.025,P2,27.81,27.83,5.0,1.0,712.0,1755.0,6801.0,44.0,31.0
94068.302527866,2026/09/03 15:39:08.126,P2,27.81,27.83,5.0,1.0,712.0,1755.0,6801.0,44.0,31.0
94068.403706371,2026/09/03 15:39:08.227,P2,27.81,27.83,5.0,1.0,712.0,1755.0,6801.0,44.0,30.0
94068.504278436,2026/09/03 15:39:08.328,P2,27.81,27.83,5.0,1.0,712.0,1755.0,6801.0,44.0,31.0
94068.605175377,2026/09/03 15:39:08.429,P2,27.81,27.83,5.0,1.0,712.0,1755.0,6801.0,44.0,31.0
94068.706360899,2026/09/03 15:39:08.530,P2,28.91,28.26,23.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94068.807269816,2026/09/03 15:39:08.631,P2,28.91,28.26,23.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94068.908110069,2026/09/03 15:39:08.732,P2,28.91,28.26,23.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94069.009308579,2026/09/03 15:39:08.833,P2,28.91,28.26,23.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94069.109983251,2026/09/03 15:39:08.934,P2,28.91,28.26,23.0,1.0,712.0,1755.0,6801.0,43.0,31.0
94069.210780859,2026/09/03 15:39:09.035,P2,28.9,28.77,23.0,1.0,712.0,1755.0,6801.0,44.0,31.0
94069.311899405,2026/09/03 15:39:09.135,P2,28.9,28.77,23.0,1.0,712.0,1755.0,6801.0,44.0,31.0
94069.412434163,2026/09/03 15:39:09.236,P2,28.9,28.77,23.0,1.0,712.0,1755.0,6801.0,44.0,31.0
94069.513320298,2026/09/03 15:39:09.337,P2,28.9,28.77,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94069.614225246,2026/09/03 15:39:09.438,P2,28.9,28.77,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94069.715124509,2026/09/03 15:39:09.539,P2,28.18,28.88,20.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94069.816093313,2026/09/03 15:39:09.640,P2,28.18,28.88,20.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94069.916792323,2026/09/03 15:39:09.741,P2,28.18,28.88,20.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94070.017760835,2026/09/03 15:39:09.841,P2,28.18,28.88,20.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94070.118548928,2026/09/03 15:39:09.942,P2,28.18,28.88,20.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94070.220806988,2026/09/03 15:39:10.043,P2,28.24,28.57,20.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94070.320567903,2026/09/03 15:39:10.144,P2,28.24,28.57,20.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94070.42147829,2026/09/03 15:39:10.245,P2,28.24,28.57,20.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94070.522350288,2026/09/03 15:39:10.346,P2,28.24,28.57,20.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94070.623424772,2026/09/03 15:39:10.447,P2,28.24,28.57,20.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94070.724277858,2026/09/03 15:39:10.548,P2,27.9,28.06,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94070.825082527,2026/09/03 15:39:10.649,P2,27.9,28.06,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94070.925811791,2026/09/03 15:39:10.750,P2,27.9,28.06,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94071.02688445,2026/09/03 15:39:10.850,P2,27.9,28.06,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94071.127472191,2026/09/03 15:39:10.951,P2,27.9,28.06,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94071.228425209,2026/09/03 15:39:11.052,P2,27.98,27.93,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94071.329142169,2026/09/03 15:39:11.153,P2,27.98,27.93,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94071.430149437,2026/09/03 15:39:11.254,P2,27.98,27.93,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94071.530864306,2026/09/03 15:39:11.355,P2,27.98,27.93,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94071.63162012,2026/09/03 15:39:11.455,P2,27.98,27.93,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94071.732436572,2026/09/03 15:39:11.556,P2,28.09,27.92,25.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94071.833363577,2026/09/03 15:39:11.657,P2,28.09,27.92,25.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94071.934174811,2026/09/03 15:39:11.758,P2,28.09,27.92,25.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94072.034948633,2026/09/03 15:39:11.859,P2,28.09,27.92,25.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94072.135881158,2026/09/03 15:39:11.960,P2,28.09,27.92,25.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94072.236907832,2026/09/03 15:39:12.060,P2,28.03,27.94,25.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94072.337543981,2026/09/03 15:39:12.161,P2,28.03,27.94,25.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94072.438473788,2026/09/03 15:39:12.262,P2,28.03,27.94,25.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94072.539485035,2026/09/03 15:39:12.363,P2,28.03,27.94,25.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94072.64038121,2026/09/03 15:39:12.464,P2,28.03,27.94,25.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94072.741742842,2026/09/03 15:39:12.565,P2,27.95,27.97,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94072.842578286,2026/09/03 15:39:12.666,P2,27.95,27.97,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94072.943206677,2026/09/03 15:39:12.767,P2,27.95,27.97,23.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94073.044249941,2026/09/03 15:39:12.868,P2,27.95,27.97,23.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94073.144920632,2026/09/03 15:39:12.969,P2,27.95,27.97,23.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94073.246152969,2026/09/03 15:39:13.070,P2,27.87,27.92,23.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94073.346933748,2026/09/03 15:39:13.171,P2,27.87,27.92,23.0,1.0,701.0,1755.0,6801.0,44.0,31.0
94073.447683702,2026/09/03 15:39:13.271,P2,27.87,27.92,23.0,1.0,701.0,1755.0,6801.0,44.0,30.0
94073.54865793,2026/09/03 15:39:13.372,P2,27.87,27.92,23.0,1.0,701.0,1755.0,6801.0,44.0,30.0
