monotonic_s,timestamp,pstate,power_instant_w,power_average_w,utilization_gpu_percent,utilization_memory_percent,memory_used_mib,clock_sm_mhz,clock_memory_mhz,temperature_c,fan_speed_percent
93998.326772889,2026/09/03 15:37:58.147,P2,27.17,27.05,3.0,1.0,707.0,1755.0,6801.0,42.0,31.0
93998.427871792,2026/09/03 15:37:58.252,P2,27.17,27.05,3.0,1.0,707.0,1755.0,6801.0,42.0,31.0
93998.52906993,2026/09/03 15:37:58.353,P2,27.17,27.05,3.0,1.0,707.0,1755.0,6801.0,42.0,31.0
93998.629949563,2026/09/03 15:37:58.454,P2,27.17,27.05,3.0,1.0,707.0,1755.0,6801.0,42.0,31.0
93998.730969214,2026/09/03 15:37:58.555,P2,26.87,26.97,1.0,1.0,707.0,1755.0,6801.0,42.0,31.0
93998.832039952,2026/09/03 15:37:58.656,P2,26.87,26.97,1.0,1.0,707.0,1755.0,6801.0,42.0,31.0
93998.932987777,2026/09/03 15:37:58.757,P2,26.87,26.97,1.0,1.0,707.0,1755.0,6801.0,42.0,31.0
93999.034038388,2026/09/03 15:37:58.858,P2,26.87,26.97,1.0,1.0,707.0,1755.0,6801.0,42.0,31.0
93999.134951128,2026/09/03 15:37:58.959,P2,26.87,26.97,1.0,1.0,707.0,1755.0,6801.0,42.0,31.0
93999.235904592,2026/09/03 15:37:59.060,P2,26.9,27.03,1.0,1.0,707.0,1755.0,6801.0,42.0,31.0
93999.336848026,2026/09/03 15:37:59.161,P2,26.9,27.03,1.0,1.0,707.0,1755.0,6801.0,42.0,31.0
