passage,inferences,inference_only_mean_ms,inference_only_median_ms,inference_only_p95_ms,end_to_end_mean_ms,end_to_end_median_ms,end_to_end_p95_ms,passage_duration_s,throughput_effective_fps
1,30,0.3304181666666667,0.2831215,0.4717319999999999,0.4004897333333334,0.34540400000000004,0.5369919999999999,0.012081539,2483.127356539593
2,30,0.22511886666666664,0.20222099999999998,0.31862114999999996,0.2752889,0.2454835,0.40311034999999995,0.008308539,3610.743116208517
3,30,0.12837556666666666,0.1165445,0.18220029999999998,0.1583336333333333,0.14456999999999998,0.23027144999999996,0.004778288,6278.399292801103
4,30,0.10643046666666667,0.101831,0.12145794999999998,0.12975833333333334,0.12387200000000001,0.15007559999999998,0.003915924,7661.027129229269
5,30,0.10458203333333332,0.101535,0.12042599999999996,0.12688299999999997,0.12200949999999999,0.14854669999999995,0.003828668,7835.623250697109
6,30,0.1038881333333333,0.1008585,0.11578689999999998,0.12590880000000002,0.121946,0.1424595,0.00379945,7895.879666793879
7,30,0.10433096666666666,0.0995585,0.11761394999999997,0.1261027,0.1200495,0.14485179999999995,0.003805866,7882.568645349048
8,30,0.10485303333333332,0.10028000000000001,0.11907579999999998,0.12721456666666667,0.122163,0.14557864999999998,0.003839117,7814.296881288067
9,30,0.10703276666666667,0.103331,0.12994099999999997,0.12997436666666667,0.124435,0.15988554999999996,0.003923311,7646.602576242363
10,30,0.10647876666666667,0.102849,0.12401979999999997,0.12920676666666667,0.124097,0.1512999,0.003900204,7691.905346489568
11,30,0.11368196666666666,0.1040025,0.16946359999999996,0.137457,0.12550050000000001,0.20341344999999997,0.004147565,7233.159697316378
12,30,0.1058573,0.0995685,0.1317562499999999,0.12768599999999997,0.1202385,0.16773134999999983,0.003854101,7783.9164048892335
13,30,0.10320886666666666,0.10119600000000001,0.11074024999999998,0.1250134333333333,0.12224950000000001,0.13650584999999996,0.003773214,7950.781482311896
14,30,0.10714806666666667,0.1027045,0.12288059999999996,0.1299007,0.12413450000000001,0.15116844999999995,0.003920238,7652.596602553212
15,30,0.10492649999999999,0.100909,0.12016194999999998,0.1268838,0.121266,0.14779969999999995,0.003829962,7832.97588853362
16,30,0.10541676666666668,0.101776,0.12186119999999996,0.12745003333333335,0.122769,0.14909844999999997,0.003845332,7801.667060217427
17,30,0.1052332,0.1022065,0.12102654999999997,0.1273999,0.123663,0.14879254999999997,0.003844114,7804.139003161717
18,30,0.10388259999999998,0.101576,0.11157205,0.12618243333333334,0.1232675,0.13636044999999997,0.003807614,7878.94991456592
19,30,0.10357319999999998,0.1013255,0.11364374999999999,0.1254024,0.12262700000000001,0.13969369999999995,0.003783918,7928.290200791878
20,30,0.10814966666666664,0.101435,0.1454585499999999,0.1318099333333333,0.123109,0.18061679999999988,0.003976839,7543.679791915136
21,30,0.12415796666666669,0.110714,0.1690437499999999,0.14953760000000002,0.13315749999999998,0.2180149499999999,0.004509483,6652.647321211766
22,30,0.10838590000000001,0.1050285,0.12524605,0.13075213333333333,0.1263755,0.14973024999999998,0.00394462,7605.295313617027
23,30,0.1051873,0.10104250000000001,0.12133239999999998,0.12713006666666668,0.122413,0.14950194999999997,0.003835691,7821.276531399427
24,30,0.10545956666666667,0.10173950000000001,0.12083439999999998,0.1274516,0.12237200000000001,0.14820849999999997,0.003845148,7802.040389602689
25,30,0.1074354,0.10334650000000001,0.12104449999999997,0.12955816666666664,0.1239105,0.14897879999999997,0.003907994,7676.572686652027
26,30,0.10403483333333334,0.1010815,0.11630659999999998,0.12576506666666667,0.122001,0.14353504999999997,0.003794167,7906.873893531834
27,30,0.10476656666666666,0.10034799999999999,0.11947499999999998,0.1264741666666667,0.1205485,0.14633829999999995,0.003815806,7862.03491477292
28,30,0.10783596666666667,0.104762,0.13749384999999995,0.1311229,0.12694149999999998,0.16983204999999993,0.003956684,7582.106632725787
29,30,0.10450453333333336,0.1002135,0.11907949999999998,0.12649536666666666,0.120272,0.14657409999999996,0.003816721,7860.150113146861
30,30,0.10328323333333335,0.1012755,0.11601999999999997,0.12462436666666667,0.12170149999999999,0.14199974999999995,0.003760466,7977.734674372804
31,30,0.10476213333333333,0.101625,0.11915444999999998,0.1267252,0.1226215,0.14655164999999998,0.003823786,7845.62734420807
32,30,0.10520226666666667,0.101053,0.11971719999999997,0.1274728333333333,0.12202299999999999,0.14689384999999996,0.00384598,7800.352575936432
33,30,0.10458426666666666,0.1011735,0.11874189999999997,0.12641690000000003,0.121278,0.14645494999999994,0.003814093,7865.565941889723
34,30,0.10463013333333333,0.1001345,0.12265254999999999,0.12662289999999998,0.1202435,0.14993269999999997,0.003820084,7853.230452524081
35,30,0.10508190000000002,0.1019735,0.11777769999999997,0.12722166666666665,0.12271699999999999,0.14521884999999995,0.003838708,7815.129465434724
36,30,0.10967626666666666,0.103658,0.15198959999999997,0.13295679999999999,0.1264215,0.18254454999999997,0.004011634,7478.249511296394
37,30,0.10513953333333334,0.1016635,0.11955284999999997,0.12704063333333335,0.12216250000000001,0.14646459999999997,0.003832745,7827.2882751135285
38,30,0.10557243333333334,0.1017355,0.12444179999999998,0.1271066,0.1222795,0.15214819999999998,0.003835268,7822.139156898553
39,30,0.10493376666666666,0.10171150000000001,0.12250919999999998,0.12744173333333333,0.12257,0.15044229999999997,0.00384546,7801.40737389025
40,30,0.10538660000000002,0.1023395,0.12105369999999999,0.12748916666666663,0.123116,0.14862864999999997,0.003846866,7798.556019367454
41,30,0.10254330000000002,0.0998165,0.1122366,0.12449693333333332,0.120284,0.13813625,0.003756627,7985.887339892942
42,30,0.10563043333333333,0.10316,0.12210494999999998,0.12772976666666666,0.1233915,0.14969739999999995,0.003853334,7785.465781061283
43,30,0.10699750000000001,0.104091,0.12549595,0.12922773333333334,0.1250095,0.15495289999999998,0.003898909,7694.460168216288
44,30,0.10521976666666667,0.101993,0.12324149999999996,0.12718193333333333,0.12262100000000001,0.15168614999999996,0.003837278,7818.0418515416395
45,30,0.10941736666666667,0.1031835,0.1414021499999999,0.13260666666666665,0.1256725,0.1752988499999999,0.004004082,7492.354052689231
46,30,0.11213160000000001,0.108774,0.13102385,0.1353813,0.1304905,0.15796749999999996,0.004086025,7342.098983731133
47,30,0.10309406666666665,0.1008365,0.11010214999999998,0.12545246666666668,0.12153900000000001,0.13634729999999998,0.003786149,7923.618431287306
48,30,0.1035081,0.1019335,0.11278964999999999,0.12578983333333335,0.12271699999999999,0.14475529999999998,0.003796245,7902.5458051311225
49,30,0.10500493333333333,0.10178200000000001,0.11412784999999998,0.12730616666666666,0.12316450000000001,0.14079724999999996,0.003842486,7807.445492319295
50,30,0.10574873333333333,0.101287,0.12115269999999996,0.12833396666666666,0.1219175,0.15005229999999994,0.003873462,7745.009503126661
51,30,0.10491086666666669,0.100064,0.12193229999999997,0.12702656666666665,0.120147,0.14992939999999996,0.003834143,7824.434299920478
52,30,0.10595799999999998,0.1023625,0.12493949999999995,0.12791676666666665,0.12258050000000001,0.14989159999999999,0.003860784,7770.4424800765855
53,30,0.10795306666666665,0.101814,0.13059769999999993,0.13091880000000003,0.123063,0.1626606499999999,0.003951235,7592.5628316209995
54,30,0.10689653333333334,0.104271,0.12112009999999997,0.1294032,0.1251575,0.14852959999999996,0.003905417,7681.63809396026
55,30,0.105925,0.101492,0.12278679999999999,0.12826220000000002,0.12303900000000001,0.15086034999999998,0.003870689,7750.558104771528
56,30,0.10460023333333333,0.102016,0.12247389999999998,0.12693773333333333,0.122803,0.15057134999999996,0.003830776,7831.311462742797
57,30,0.10619740000000001,0.102349,0.12231539999999999,0.12864533333333333,0.1239585,0.1501641,0.003882496,7726.987999472504
58,30,0.1042162,0.101027,0.12084604999999998,0.12569696666666666,0.12164449999999999,0.146249,0.003793535,7908.191172613408
59,30,0.10266223333333332,0.09939200000000001,0.11652794999999998,0.12408506666666667,0.119323,0.14144999999999996,0.003743939,8012.951065709137
60,30,0.10487666666666667,0.1015345,0.1203011,0.12687513333333336,0.1225775,0.14720499999999997,0.003828005,7836.980359221056
61,30,0.10623719999999999,0.102363,0.12608664999999997,0.12885180000000002,0.12419849999999999,0.15763334999999998,0.003888097,7715.856883200187
62,30,0.1053472,0.1012595,0.12582244999999997,0.12758583333333334,0.12173300000000001,0.15428729999999996,0.00385265,7786.848013704853
63,30,0.10529683333333334,0.100078,0.12318059999999996,0.1275449,0.121044,0.15096609999999994,0.003848157,7795.93971867572
