received_perf_counter_ns,seconds_since_first_sample,timestamp_local,system_cpu_percent,process_cpu_percent,process_rss_mib,process_vms_mib,process_threads,system_memory_percent,load1,load5,load15,frequency_mean_mhz,frequency_min_mhz,frequency_max_mhz,package_temperature_c,core_temperature_mean_c,core_temperature_max_c,fan_rpm
89738008666668,0.0,2026-09-01T15:00:36.174417-03:00,0.0,0.0,720.4375,9755.3671875,107,27.4,0.2646484375,0.16552734375,0.1650390625,1523.882125,799.025,5031.845,52.0,50.75,53.0,933.0
89738109608351,0.100941683,2026-09-01T15:00:36.275358-03:00,1.2,9.9,720.4453125,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,1093.2938333333334,800.0,2000.262,52.0,50.75,53.0,933.0
89738209932151,0.201265483,2026-09-01T15:00:36.375682-03:00,0.8,0.0,720.44921875,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,1120.5929583333334,800.0,1900.763,52.0,50.75,53.0,933.0
89738309781890,0.301115222,2026-09-01T15:00:36.475531-03:00,1.3,0.0,720.453125,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,1156.8946666666668,800.0,2086.435,52.0,50.75,53.0,933.0
89738408717807,0.400051139,2026-09-01T15:00:36.574468-03:00,0.8,0.0,720.453125,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,984.3410416666667,800.0,2000.026,52.0,50.75,53.0,933.0
89738509472010,0.500805342,2026-09-01T15:00:36.675221-03:00,0.8,0.0,720.4609375,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,981.824375,800.0,1966.59,52.0,50.75,53.0,933.0
89738608955538,0.60028887,2026-09-01T15:00:36.774704-03:00,1.3,0.0,720.4609375,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,947.9616666666667,800.0,1930.998,52.0,50.75,53.0,933.0
89738707939462,0.699272794,2026-09-01T15:00:36.873688-03:00,3.4,0.0,720.46875,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,1692.0715416666665,799.45,5100.0,52.0,50.75,53.0,933.0
89738809645228,0.80097856,2026-09-01T15:00:36.975395-03:00,1.2,9.8,720.46875,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,985.7826666666666,800.0,2100.0,51.0,48.3125,51.0,932.0
89738908829282,0.900162614,2026-09-01T15:00:37.074579-03:00,1.3,10.1,720.47265625,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,955.4400833333333,786.632,1908.015,51.0,48.3125,51.0,932.0
