passage,inferences,inference_only_mean_ms,inference_only_median_ms,inference_only_p95_ms,end_to_end_mean_ms,end_to_end_median_ms,end_to_end_p95_ms,passage_duration_s,throughput_effective_fps
1,30,0.3799216333333334,0.2881045,0.6970477999999999,0.4703583333333334,0.3459935,0.8793996999999998,0.014189484,2114.2417863820842
2,30,0.18265063333333334,0.160085,0.28135054999999987,0.2240650666666667,0.192121,0.3663341499999997,0.006760953,4437.244276065815
3,30,0.1101014,0.105437,0.13606305,0.13310113333333332,0.12723,0.16615494999999997,0.004018112,7466.193077743976
4,30,0.10754306666666666,0.101882,0.12486574999999998,0.1297391,0.122422,0.1521294,0.00391808,7656.811499509964
5,30,0.10713496666666669,0.1025125,0.12841149999999998,0.13041176666666662,0.124625,0.15551284999999995,0.003935901,7622.142934997602
6,30,0.10535143333333334,0.102544,0.12208844999999995,0.12772056666666667,0.1236115,0.14935179999999998,0.003855075,7781.949767514251
7,30,0.10937103333333334,0.1008365,0.13148289999999999,0.13250790000000004,0.12122649999999999,0.16195544999999997,0.003998251,7503.280809533968
8,30,0.11455413333333334,0.1072635,0.14746589999999987,0.13729263333333333,0.128224,0.17844654999999984,0.004142371,7242.229148475596
9,30,0.10427086666666666,0.10119500000000001,0.12204555,0.12579633333333334,0.12134149999999999,0.14851599999999998,0.003797523,7899.886320635846
10,30,0.11034083333333333,0.106689,0.12643564999999998,0.13367233333333334,0.12825599999999998,0.15529444999999997,0.004034342,7436.156875148414
11,30,0.1098809,0.105201,0.13700905,0.13267023333333333,0.12704,0.1614058,0.004003742,7492.99030756727
12,30,0.11569653333333335,0.101935,0.18006269999999994,0.13963916666666665,0.12428249999999999,0.20944099999999996,0.004212951,7120.899341103183
13,30,0.10437686666666667,0.0996455,0.12339844999999997,0.12609279999999998,0.11934,0.15240694999999999,0.003805303,7883.734882609874
14,30,0.1254183666666667,0.1149685,0.17596785,0.14955193333333336,0.138527,0.21418849999999992,0.004510413,6651.275614893803
15,30,0.11091726666666668,0.103274,0.12354929999999996,0.13406736666666666,0.125668,0.15194364999999996,0.004046318,7414.1478746850835
16,30,0.11077843333333333,0.1016205,0.15169929999999998,0.13330959999999997,0.1219545,0.18315444999999997,0.004022593,7457.876051591598
17,30,0.10619996666666667,0.101477,0.12990939999999998,0.12827856666666665,0.1231435,0.15862524999999997,0.003870223,7751.491322334657
18,30,0.11072946666666666,0.1065705,0.13545174999999998,0.13342483333333333,0.128021,0.16376829999999995,0.004025823,7451.892445345957
19,30,0.12148206666666667,0.111204,0.15116984999999997,0.14466053333333334,0.1346815,0.18145664999999994,0.00437577,6855.93621236948
20,30,0.11580793333333332,0.107573,0.1574232999999999,0.14029783333333332,0.1297615,0.18541264999999993,0.004235179,7083.525867501704
21,30,0.1382994,0.11872450000000001,0.21492084999999994,0.16663583333333334,0.144561,0.28355949999999996,0.005026528,5968.334404980934
22,30,0.11193710000000001,0.1064125,0.1287129,0.13612426666666663,0.1288085,0.16115215,0.004109253,7300.596969814222
23,30,0.11750116666666667,0.116366,0.13345155,0.14265013333333337,0.141818,0.1591521,0.004306075,6966.9014125392605
24,30,0.10661766666666665,0.101435,0.12398964999999997,0.12905463333333336,0.1227615,0.15311234999999992,0.00389578,7700.640179886955
25,30,0.1145004,0.1063105,0.1589498499999999,0.14023473333333333,0.12688,0.2092954999999998,0.004233694,7086.010467454663
26,30,0.1038656,0.100785,0.11746129999999998,0.12575919999999996,0.12137700000000001,0.14242959999999996,0.003795678,7903.72629079706
27,30,0.11507726666666666,0.1108815,0.13900314999999996,0.1395762,0.135229,0.16436639999999994,0.004212321,7121.964351719635
28,30,0.10255249999999999,0.1003825,0.11517254999999997,0.12369789999999999,0.12058250000000001,0.14360189999999995,0.003733723,8034.87564556878
29,30,0.1043133,0.1010605,0.12165804999999996,0.12622019999999998,0.121696,0.14889069999999996,0.003811077,7871.790572586175
30,30,0.10893330000000002,0.1026375,0.14220145,0.13199766666666665,0.12284500000000001,0.1702312,0.003985509,7527.269415274185
31,30,0.11281349999999998,0.106714,0.14744055,0.13643123333333335,0.1286935,0.17977715,0.004118329,7284.507867147089
32,30,0.10636373333333334,0.1013615,0.12809315,0.12868906666666666,0.1218255,0.15283945,0.003885043,7721.922254142361
33,30,0.10570883333333334,0.1011515,0.12224469999999997,0.1280499,0.122644,0.15085449999999995,0.003865615,7760.7314748106055
34,30,0.1053731,0.101679,0.12180314999999994,0.12728256666666665,0.1218695,0.15005169999999993,0.003841946,7808.542858228616
35,30,0.11841196666666666,0.1079185,0.1809014499999999,0.14490536666666667,0.1305565,0.23010319999999987,0.004372125,6861.651942705206
36,30,0.10501076666666664,0.10017699999999999,0.12233749999999999,0.12684369999999998,0.1203215,0.15065259999999997,0.003827492,7838.030752252389
37,30,0.10619976666666668,0.1016435,0.12341409999999998,0.12863836666666667,0.12291450000000001,0.14971089999999998,0.0038819,7728.1743476132815
38,30,0.10784753333333333,0.1022625,0.13864399999999996,0.1301441,0.122303,0.17424784999999998,0.003926546,7640.302698605848
39,30,0.1223720666666667,0.114469,0.17984339999999988,0.14734413333333332,0.140073,0.21418574999999992,0.004446887,6746.29240635078
40,30,0.1059523,0.1018695,0.12264664999999998,0.128169,0.1220985,0.15415479999999993,0.003867484,7756.981024355886
41,30,0.1093138,0.101823,0.13067245,0.13197506666666667,0.1227705,0.15789774999999998,0.003984989,7528.2516463658985
42,30,0.10449343333333333,0.10082250000000001,0.11821629999999998,0.12636433333333333,0.121167,0.14510024999999996,0.003813424,7866.945820868595
43,30,0.15194083333333333,0.12022050000000001,0.3193267499999999,0.17697503333333334,0.1448295,0.34944019999999987,0.005333773,5624.53632728652
44,30,0.11922276666666667,0.117544,0.14120139999999998,0.1443333,0.14127800000000001,0.16636045,0.004355069,6888.524613502106
45,30,0.11775973333333334,0.11554149999999999,0.14570794999999992,0.14326680000000006,0.1382785,0.17741309999999993,0.00432272,6940.074767738831
46,30,0.11236246666666666,0.11030599999999999,0.12628129999999999,0.13607006666666668,0.132755,0.15358839999999996,0.0041063,7305.847112972749
