passage,inferences,inference_only_mean_ms,inference_only_median_ms,inference_only_p95_ms,end_to_end_mean_ms,end_to_end_median_ms,end_to_end_p95_ms,passage_duration_s,throughput_effective_fps
1,30,0.5028433,0.46642300000000003,0.7502303499999999,0.6126471,0.5692845,0.9100814499999998,0.018468348,1624.4008397502582
2,30,0.2858056666666666,0.279883,0.35515334999999987,0.34149093333333336,0.3344735,0.42613024999999977,0.0103002,2912.5648045669013
3,30,0.16553569999999998,0.1536595,0.2334875,0.1975938,0.18119000000000002,0.28391599999999995,0.005959006,5034.396676224189
4,30,0.11242703333333333,0.106216,0.1309608,0.1343636,0.1276595,0.15416729999999998,0.004053246,7401.475262049232
5,30,0.10739306666666666,0.101687,0.1287375,0.13008286666666669,0.1227115,0.15252225,0.003926044,7641.279618873349
6,30,0.10265076666666667,0.1000455,0.11808399999999998,0.12461283333333334,0.12048,0.1436922,0.003760561,7977.533139337455
7,30,0.10687719999999998,0.104317,0.12526589999999999,0.1293216,0.125129,0.15159829999999996,0.003902557,7687.267604291238
8,30,0.1041268,0.1002065,0.11685169999999998,0.12628133333333333,0.11998149999999999,0.14369604999999996,0.00381086,7872.238812236607
9,30,0.1182307,0.11059749999999999,0.16424034999999995,0.14370866666666665,0.132774,0.21119009999999994,0.004336986,6917.246216612181
10,30,0.11849103333333333,0.11162649999999999,0.15339555,0.14166789999999999,0.1329715,0.18337014999999998,0.004274514,7018.3417342883895
11,30,0.10579569999999999,0.1018785,0.12067759999999997,0.12872843333333334,0.12268499999999999,0.14990309999999996,0.003885625,7720.76564259289
12,30,0.1016694,0.10026,0.11099025,0.1236795,0.120954,0.1386951,0.003733253,8035.887200787088
13,30,0.10531436666666666,0.101211,0.12351214999999999,0.12791966666666665,0.122292,0.15065754999999995,0.003860859,7770.291533568048
14,30,0.1045654,0.1008005,0.1217242,0.12671350000000003,0.12186050000000001,0.14899284999999998,0.00382416,7844.860047696749
15,30,0.11901696666666668,0.107076,0.1891546499999999,0.1411596,0.1333195,0.21042859999999988,0.004257732,7046.004774372835
16,30,0.11513473333333332,0.1093035,0.14240254999999996,0.13742083333333335,0.1310035,0.16951594999999994,0.004145093,7237.473320863971
17,30,0.11783746666666664,0.1044935,0.18689669999999994,0.1402719,0.124429,0.20957324999999993,0.004231101,7090.3530783122405
18,30,0.11417063333333334,0.1106275,0.14943779999999995,0.1378074,0.132544,0.17629474999999997,0.004157666,7215.586822029475
19,30,0.1095276,0.101269,0.14447174999999995,0.13285856666666668,0.1229015,0.17683049999999992,0.004009117,7482.944498751221
20,30,0.10442053333333333,0.1014265,0.12287364999999999,0.1267171,0.1225775,0.14975904999999998,0.003824663,7843.8283320648125
21,30,0.12293163333333332,0.1069435,0.15519675,0.1470326,0.1290745,0.19531774999999998,0.004434523,6765.101906112563
22,30,0.10559490000000002,0.10191249999999999,0.12035759999999998,0.12823949999999998,0.122938,0.14858214999999997,0.003870618,7750.700275769916
23,30,0.10394176666666667,0.10278999999999999,0.11262185,0.12602156666666667,0.12382,0.1380739,0.003803081,7888.341058210435
