passage,inferences,inference_only_mean_ms,inference_only_median_ms,inference_only_p95_ms,end_to_end_mean_ms,end_to_end_median_ms,end_to_end_p95_ms,passage_duration_s,throughput_effective_fps
1,30,0.9866961333333333,0.9542980000000001,1.5917594499999996,1.2810734333333333,1.231147,2.2934516,0.038556465,778.0796294473573
2,30,0.35903670000000004,0.355592,0.4604583,0.45599400000000007,0.44633449999999997,0.5894357499999999,0.013741352,2183.191290056466
3,30,0.182035,0.173188,0.2494377999999999,0.23125139999999997,0.218504,0.3260640499999999,0.006969896,4304.224912394676
4,30,0.1558937333333333,0.1515505,0.1753822,0.19741316666666667,0.1910585,0.22500059999999994,0.005950151,5041.888852904742
5,30,0.15793020000000002,0.15347349999999998,0.18930099999999994,0.19898599999999997,0.193545,0.24252624999999992,0.005998331,5001.391220324454
6,30,0.1555115,0.152991,0.17118774999999997,0.19566546666666668,0.19249349999999998,0.21633084999999996,0.005898379,5086.1431589933445
7,30,0.1557725666666667,0.153139,0.17379849999999997,0.19651693333333334,0.192458,0.22231904999999993,0.005923922,5064.212526768583
8,30,0.15219666666666667,0.149043,0.16725449999999997,0.1917623,0.1870685,0.21538069999999995,0.005780607,5189.766403424415
9,30,0.1545421666666667,0.1526545,0.1631725,0.19487359999999995,0.19066850000000002,0.20903375,0.00587509,5106.304754480357
10,30,0.15732423333333329,0.1540395,0.17564179999999996,0.19769916666666668,0.19117299999999998,0.22425759999999997,0.005959913,5033.630524472421
11,30,0.15618410000000002,0.15197100000000002,0.17564899999999997,0.1958882666666667,0.18887700000000002,0.22281704999999996,0.005906102,5079.492362305968
12,30,0.16417439999999997,0.1579755,0.19940789999999997,0.2077459666666667,0.19744,0.27520684999999995,0.006261988,4790.810841541057
13,30,0.15696663333333333,0.1528045,0.17563584999999998,0.23201976666666668,0.2438845,0.2613722,0.006989889,4291.913648414159
14,30,0.15858563333333334,0.1539775,0.18891724999999998,0.25198906666666665,0.250923,0.2780613,0.007589438,3952.8618588095724
15,30,0.15552003333333336,0.15214450000000002,0.17074379999999997,0.2515690333333333,0.2507645,0.27245245,0.007576328,3959.7018502894803
16,30,0.1529606666666667,0.148955,0.17080349999999997,0.2496115333333333,0.2459995,0.27725194999999997,0.007515668,3991.6611537390954
17,30,0.19139716666666667,0.15494799999999997,0.3466707,0.28668013333333336,0.25310699999999997,0.44696864999999997,0.008628117,3477.004310442244
18,30,0.1705556,0.152062,0.2851354,0.2748604333333333,0.25052399999999997,0.43124614999999966,0.008275093,3625.3368995369597
19,30,0.22567780000000004,0.21790549999999997,0.28495,0.29261013333333336,0.290351,0.35337304999999997,0.008819326,3401.6204866448975
20,30,0.2160406,0.20331700000000003,0.29278219999999994,0.28265100000000004,0.270748,0.3760381499999999,0.008516873,3522.4195546886754
21,30,0.15652159999999998,0.15095,0.18971125,0.2528141666666667,0.247753,0.28181434999999994,0.007611601,3941.3521544284836
22,30,0.16656850000000004,0.1545485,0.19546914999999995,0.2741566666666666,0.25366049999999996,0.34779204999999996,0.008251969,3635.495964660071
23,30,0.15716626666666667,0.15239,0.18003534999999998,0.25038173333333336,0.2488435,0.2840951,0.007538519,3979.5615027301783
24,30,0.1776860666666667,0.15822550000000002,0.26305449999999986,0.27074526666666665,0.2518365,0.3761001499999999,0.008154483,3678.9579425206966
25,30,0.1516134,0.150091,0.16559049999999995,0.24745053333333333,0.24745699999999998,0.25694595,0.007450173,4026.752130453883
26,30,0.15284903333333333,0.1500845,0.17077959999999998,0.2465621666666667,0.248562,0.27129645,0.007423567,4041.1839753045942
27,30,0.1521065666666667,0.148049,0.16914274999999998,0.2466464,0.24602800000000002,0.26943915,0.007426479,4039.599384849806
28,30,0.15029953333333335,0.1463785,0.17143699999999995,0.24977550000000004,0.2437325,0.27871604999999994,0.007520257,3989.225368228772
29,30,0.15087736666666668,0.14725349999999998,0.1700653,0.24507090000000004,0.2442445,0.26517745,0.00737876,4065.723780147342
30,30,0.15261623333333332,0.14971050000000002,0.17061059999999995,0.2462238,0.2462945,0.27123064999999996,0.00741586,4045.3838125315206
31,30,0.1532675333333333,0.14969749999999998,0.16951154999999998,0.25002140000000006,0.2470655,0.27545204999999995,0.00752769,3985.2863228958686
32,30,0.15287846666666666,0.1503105,0.16916249999999997,0.249856,0.247256,0.2720437,0.007522055,3988.2718219954522
33,30,0.15057910000000002,0.147427,0.1641156,0.24966233333333332,0.245364,0.2671905,0.007516124,3991.4189813792323
34,30,0.15235716666666668,0.150289,0.16624084999999997,0.24500496666666666,0.246967,0.26123199999999996,0.007376491,4066.974392024609
35,30,0.15102960000000004,0.1491825,0.16781995,0.2482571666666666,0.2458,0.26528714999999997,0.007473948,4013.942831820612
36,30,0.1534722666666667,0.1492475,0.17003189999999996,0.2532304,0.2497455,0.27747619999999995,0.00762371,3935.0919696578176
37,30,0.1515454333333333,0.14817049999999998,0.16742434999999994,0.24865639999999997,0.246521,0.26258025,0.007486382,4007.2761448721158
38,30,0.1519153666666667,0.1485615,0.16916145,0.24694696666666663,0.24540800000000002,0.2621721,0.007434674,4035.14666547585
39,30,0.15456650000000002,0.150613,0.17270449999999998,0.25180810000000003,0.250211,0.26891945,0.007581386,3957.060094288828
40,30,0.1500951,0.14703149999999998,0.16787024999999997,0.24844056666666664,0.245658,0.27577179999999996,0.007480149,4010.6152965669535
41,30,0.15242383333333334,0.14745550000000002,0.16921579999999997,0.24638980000000002,0.244099,0.27520849999999997,0.007418525,4043.9305657121868
42,30,0.15062413333333333,0.1486825,0.16511069999999997,0.24768883333333333,0.24649700000000002,0.25955625,0.007457626,4022.727876136454
43,30,0.15220920000000002,0.14868599999999998,0.16977529999999996,0.24490486666666672,0.2445415,0.26117939999999995,0.007374298,4068.1838461098264
44,30,0.15235163333333335,0.14998050000000002,0.16754064999999996,0.2500996,0.247952,0.270161,0.007530078,3984.022476261202
45,30,0.1532109,0.1491785,0.17158994999999996,0.25227510000000003,0.24721100000000001,0.27965629999999997,0.007594967,3949.984246146165
46,30,0.1528623333333333,0.15009450000000002,0.17006979999999997,0.2505646,0.248976,0.26783595,0.007543611,3976.8752657049786
47,30,0.1479939,0.1468015,0.15865019999999996,0.2455633,0.243981,0.26337299999999997,0.007393128,4057.8223452914654
48,30,0.15320346666666665,0.1490805,0.17116735,0.24891433333333332,0.245637,0.27558544999999995,0.007494697,4002.8302678547248
49,30,0.15401610000000004,0.149812,0.1779392,0.2503270666666667,0.2475145,0.2717274,0.007537526,3980.0857735018094
50,30,0.1542103666666667,0.1503285,0.16973334999999998,0.2533838333333333,0.248429,0.27706415,0.007629543,3932.0834812779744
51,30,0.15177260000000004,0.14919500000000002,0.16967709999999997,0.24887146666666665,0.2459865,0.26677585,0.007493703,4003.36122208206
52,30,0.15364246666666664,0.1504145,0.17267085,0.25357856666666667,0.2491005,0.2793824,0.007634672,3929.441893508981
53,30,0.15179399999999996,0.1470555,0.17319474999999998,0.2436011,0.2439155,0.2621291,0.0073362,4089.310542242578
54,30,0.14912843333333334,0.146533,0.16323549999999998,0.24164936666666667,0.2426845,0.26247974999999996,0.007278265,4121.8614601144645
55,30,0.14944776666666665,0.14616200000000001,0.16260305,0.2463295,0.245249,0.26381875,0.00741985,4043.2084206554036
56,30,0.15084129999999998,0.147802,0.1672463,0.24582133333333334,0.2451205,0.2633649,0.007403721,4052.01654681477
57,30,0.15232613333333334,0.1481115,0.16978049999999997,0.24567000000000003,0.245094,0.2630741,0.007397772,4055.27502064135
58,30,0.1510124,0.1493255,0.16086094999999997,0.24835623333333337,0.24703550000000002,0.26246205,0.007477407,4012.0860078901683
59,30,0.15095793333333332,0.147529,0.16520015,0.24605263333333335,0.2448655,0.26567325,0.007407918,4049.7208527416205
60,30,0.15039296666666666,0.14838600000000002,0.16886349999999994,0.24718839999999992,0.2442605,0.26074735,0.007441939,4031.207458163793
61,30,0.15058996666666666,0.147974,0.16454494999999997,0.2457675,0.24618099999999998,0.26646715,0.007399208,4054.4879938501526
62,30,0.15377006666666668,0.1497895,0.17200829999999998,0.2513359,0.2474985,0.27100565,0.007567363,3964.392880320397
63,30,0.15255926666666667,0.1484295,0.17323124999999998,0.24967623333333328,0.24637900000000001,0.27918164999999995,0.007517129,3990.885349978695
64,30,0.1521981333333333,0.14845999999999998,0.1706114,0.24992456666666663,0.2460145,0.27305565,0.007523701,3987.399286601102
65,30,0.15210816666666668,0.1478255,0.1717667,0.24972359999999993,0.245704,0.26693564999999997,0.007518775,3990.011670784137
