cycle,inferences,correct_unique,latency_mean_ms,latency_median_ms,latency_std_sample_ms,latency_p95_ms,latency_min_ms,latency_max_ms,cycle_duration_s,throughput_fps
1,30,29,0.5716820333333335,0.4797385,0.21017894862965658,0.91759945,0.379305,1.137616,0.022189519,1351.9896488067182
2,30,29,0.3166737333333333,0.2717655,0.12194681929514316,0.50246715,0.180051,0.664576,0.011810309,2540.1536911523654
3,30,29,0.16183696666666664,0.1549955,0.024416871661977327,0.19633324999999996,0.144553,0.269552,0.007765044,3863.4681271606446
4,30,29,0.1994599666666667,0.1661805,0.0622317575111766,0.3084404,0.148088,0.397611,0.0095619,3137.451761679164
5,30,29,0.2682157,0.2371935,0.08463382793241189,0.46057214999999996,0.188113,0.487284,0.01037099,2892.684304969921
6,30,29,0.24330463333333333,0.228158,0.05822573379616867,0.3506200999999999,0.179139,0.420946,0.00950451,3156.3962792400657
7,30,29,0.1599934333333333,0.153042,0.020004554825620698,0.19610799999999995,0.142331,0.233581,0.007695877,3898.191200301148
8,30,29,0.16579603333333331,0.15476299999999998,0.03067331827892492,0.2190338999999999,0.145535,0.294498,0.007914739,3790.396625839462
9,30,29,0.26728003333333333,0.2631705,0.060543344366963917,0.37185949999999984,0.16963,0.421445,0.010783742,2781.9656664634595
10,30,29,0.25935576666666665,0.2580605,0.02569962778166431,0.29433385,0.207129,0.311394,0.009810761,3057.866764871757
11,30,29,0.18615313333333336,0.1742725,0.03616605665607705,0.24824984999999997,0.146644,0.295307,0.008271079,3627.096295416837
12,30,29,0.17779726666666665,0.15586499999999998,0.06298946819847297,0.31302769999999963,0.146155,0.418867,0.008730628,3436.178932374624
13,30,29,0.19574833333333333,0.1878575,0.036476250733993965,0.254863,0.152259,0.281275,0.008469906,3541.951941379279
14,30,29,0.2458781333333334,0.241807,0.04921778451748103,0.32991185,0.185907,0.381829,0.009312788,3221.3768852034427
15,30,29,0.1653399333333333,0.155633,0.024252036144782076,0.21065764999999997,0.144447,0.253595,0.007849028,3822.1293133366325
16,30,29,0.19891623333333333,0.15625,0.09394327155098602,0.3426468999999998,0.145256,0.582719,0.008956759,3349.425835840844
17,30,29,0.18356396666666666,0.1709225,0.04646653590858348,0.2689553499999997,0.152061,0.370821,0.008582139,3495.632032993173
18,30,29,0.22057989999999997,0.224553,0.02368574561200368,0.2531727,0.175539,0.281218,0.008393401,3574.23647458283
19,30,29,0.18715670000000004,0.159399,0.057681283051724014,0.3130676499999999,0.146755,0.339444,0.008513024,3524.0121489144167
20,30,29,0.2569337,0.18706,0.12491189141099583,0.4652319,0.158413,0.659093,0.010970762,2734.541137616512
21,30,29,0.2802330333333334,0.279094,0.05677910040309777,0.34738194999999994,0.203666,0.483153,0.010622843,2824.102737845227
22,30,29,0.28638743333333333,0.27241550000000003,0.040975513777834094,0.3606922,0.23372,0.379373,0.010974372,2733.6416152104193
23,30,29,0.3573484333333333,0.331031,0.09762306206145156,0.54862455,0.246388,0.553444,0.013415712,2236.1839610152633
24,30,29,0.33491226666666674,0.337391,0.056910882405154586,0.44668474999999985,0.25478,0.486041,0.012587362,2383.3429117236797
25,30,29,0.19653606666666665,0.18555,0.04358986422990566,0.27201514999999993,0.153956,0.33782,0.008365967,3585.9572479786257
26,30,29,0.16955333333333333,0.154584,0.04563717664083885,0.26144909999999977,0.145853,0.352787,0.00822765,3646.2416364332466
27,30,29,0.1606461333333333,0.1538765,0.01982104039291256,0.19664844999999995,0.146401,0.242999,0.007842864,3825.1332676430447
28,30,29,0.1560503666666667,0.151619,0.012620911624769023,0.17353795,0.144623,0.209252,0.007673128,3909.7484102962962
29,30,29,0.15740976666666667,0.15261999999999998,0.014470231229673907,0.18352399999999996,0.145551,0.2119,0.007711421,3890.333571464974
30,30,29,0.19097703333333332,0.15855049999999998,0.06948149896368262,0.30853149999999996,0.146553,0.44728,0.008486344,3535.0912006395215
31,30,29,0.16031613333333336,0.157126,0.014990758327149046,0.17805254999999998,0.145979,0.22591,0.006287414,4771.437032776909
32,30,29,0.1589256,0.155052,0.013854026484545305,0.17695709999999998,0.146923,0.221519,0.006042091,4965.168515336826
