received_perf_counter_ns,seconds_since_first_sample,timestamp,index,name,uuid,pci.bus_id,driver_version,pstate,temperature.gpu,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw.instant,power.draw.average,power.limit,clocks.current.sm,clocks.current.memory,fan.speed
100643352846110,0.0,2026/09/03 17:28:43.171,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.43,29.22,120.0,1755.0,6801.0,31.0
100643454832582,0.101986472,2026/09/03 17:28:43.278,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.43,29.22,120.0,1755.0,6801.0,31.0
100643556689351,0.203843241,2026/09/03 17:28:43.380,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.43,29.22,120.0,1755.0,6801.0,31.0
100643658645773,0.305799663,2026/09/03 17:28:43.481,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.43,29.22,120.0,1755.0,6801.0,31.0
100643760692087,0.407845977,2026/09/03 17:28:43.583,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.43,29.22,120.0,1755.0,6801.0,31.0
100643862647812,0.509801702,2026/09/03 17:28:43.685,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.34,29.27,120.0,1755.0,6801.0,31.0
100643964522025,0.611675915,2026/09/03 17:28:43.787,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.34,29.27,120.0,1755.0,6801.0,31.0
100644066434511,0.713588401,2026/09/03 17:28:43.889,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.34,29.27,120.0,1755.0,6801.0,31.0
100644168332703,0.815486593,2026/09/03 17:28:43.991,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.34,29.27,120.0,1755.0,6801.0,31.0
100644270244592,0.917398482,2026/09/03 17:28:44.093,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.34,29.27,120.0,1755.0,6801.0,31.0
100644372064643,1.019218533,2026/09/03 17:28:44.195,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.27,29.32,120.0,1755.0,6801.0,31.0
100644473814625,1.120968515,2026/09/03 17:28:44.297,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,57.0,1.0,1.0,663.0,8192.0,29.27,29.32,120.0,1755.0,6801.0,31.0
