received_perf_counter_ns,seconds_since_first_sample,timestamp,index,name,uuid,pci.bus_id,driver_version,pstate,temperature.gpu,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw.instant,power.draw.average,power.limit,clocks.current.sm,clocks.current.memory,fan.speed
86866074021182,0.0,2026/09/01 14:12:44.233,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.53,28.28,120.0,1755.0,6801.0,31.0
86866176732811,0.102711629,2026/09/01 14:12:44.339,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.53,28.28,120.0,1755.0,6801.0,31.0
86866278933322,0.20491214,2026/09/01 14:12:44.442,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.53,28.28,120.0,1755.0,6801.0,31.0
86866380857979,0.306836797,2026/09/01 14:12:44.544,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.53,28.28,120.0,1755.0,6801.0,31.0
86866482753454,0.408732272,2026/09/01 14:12:44.646,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.53,28.28,120.0,1755.0,6801.0,31.0
86866584601847,0.510580665,2026/09/01 14:12:44.748,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.53,28.28,120.0,1755.0,6801.0,31.0
86866686514426,0.612493244,2026/09/01 14:12:44.850,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.25,28.31,120.0,1755.0,6801.0,31.0
86866788383286,0.714362104,2026/09/01 14:12:44.952,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.25,28.31,120.0,1755.0,6801.0,31.0
86866890108929,0.816087747,2026/09/01 14:12:45.054,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.25,28.31,120.0,1755.0,6801.0,31.0
86866991917578,0.917896396,2026/09/01 14:12:45.155,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.25,28.31,120.0,1755.0,6801.0,31.0
86867093830012,1.01980883,2026/09/01 14:12:45.257,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.29,120.0,1755.0,6801.0,31.0
86867196068361,1.122047179,2026/09/01 14:12:45.359,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.29,120.0,1755.0,6801.0,31.0
86867298105109,1.224083927,2026/09/01 14:12:45.461,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.29,120.0,1755.0,6801.0,31.0
86867399993813,1.325972631,2026/09/01 14:12:45.563,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.29,120.0,1755.0,6801.0,31.0
86867501836596,1.427815414,2026/09/01 14:12:45.665,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.29,120.0,1755.0,6801.0,31.0
86867603788107,1.529766925,2026/09/01 14:12:45.767,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.23,120.0,1755.0,6801.0,31.0
86867705773594,1.631752412,2026/09/01 14:12:45.869,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.23,120.0,1755.0,6801.0,31.0
86867807945485,1.733924303,2026/09/01 14:12:45.971,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.23,120.0,1755.0,6801.0,31.0
86867909904051,1.835882869,2026/09/01 14:12:46.073,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.23,120.0,1755.0,6801.0,31.0
86868011780732,1.93775955,2026/09/01 14:12:46.175,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.23,120.0,1755.0,6801.0,31.0
86868113904988,2.039883806,2026/09/01 14:12:46.277,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.15,28.2,120.0,1755.0,6801.0,31.0
86868215955449,2.141934267,2026/09/01 14:12:46.379,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.15,28.2,120.0,1755.0,6801.0,31.0
86868317953430,2.243932248,2026/09/01 14:12:46.481,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.15,28.2,120.0,1755.0,6801.0,31.0
86868420092699,2.346071517,2026/09/01 14:12:46.583,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.15,28.2,120.0,1755.0,6801.0,31.0
86868521884517,2.447863335,2026/09/01 14:12:46.685,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.15,28.2,120.0,1755.0,6801.0,31.0
86868623911191,2.549890009,2026/09/01 14:12:46.787,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.14,28.18,120.0,1755.0,6801.0,31.0
86868726092913,2.652071731,2026/09/01 14:12:46.889,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.14,28.18,120.0,1755.0,6801.0,31.0
86868827903654,2.753882472,2026/09/01 14:12:46.991,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.14,28.18,120.0,1755.0,6801.0,31.0
86868929264461,2.855243279,2026/09/01 14:12:47.093,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.14,28.18,120.0,1755.0,6801.0,31.0
86869031506501,2.957485319,2026/09/01 14:12:47.195,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.14,28.18,120.0,1755.0,6801.0,31.0
86869133316062,3.05929488,2026/09/01 14:12:47.297,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.14,28.17,120.0,1755.0,6801.0,31.0
86869235316606,3.161295424,2026/09/01 14:12:47.399,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.14,28.17,120.0,1755.0,6801.0,31.0
86869337248011,3.263226829,2026/09/01 14:12:47.501,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.14,28.17,120.0,1755.0,6801.0,31.0
86869439248386,3.365227204,2026/09/01 14:12:47.603,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.14,28.17,120.0,1755.0,6801.0,31.0
86869541217194,3.467196012,2026/09/01 14:12:47.705,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,1.0,1.0,938.0,8192.0,28.14,28.17,120.0,1755.0,6801.0,31.0
86869643200241,3.569179059,2026/09/01 14:12:47.807,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.17,120.0,1755.0,6801.0,31.0
86869745157607,3.671136425,2026/09/01 14:12:47.909,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.17,120.0,1755.0,6801.0,31.0
86869847352919,3.773331737,2026/09/01 14:12:48.011,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.17,120.0,1755.0,6801.0,31.0
86869949732501,3.875711319,2026/09/01 14:12:48.113,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.17,120.0,1755.0,6801.0,31.0
86870051787443,3.977766261,2026/09/01 14:12:48.215,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.18,28.17,120.0,1755.0,6801.0,31.0
86870153767438,4.079746256,2026/09/01 14:12:48.317,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.36,28.23,120.0,1755.0,6801.0,31.0
86870255801269,4.181780087,2026/09/01 14:12:48.419,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.36,28.23,120.0,1755.0,6801.0,31.0
86870358183371,4.284162189,2026/09/01 14:12:48.521,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.36,28.23,120.0,1755.0,6801.0,31.0
86870460111429,4.386090247,2026/09/01 14:12:48.623,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.36,28.23,120.0,1755.0,6801.0,31.0
86870561973719,4.487952537,2026/09/01 14:12:48.725,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,0.0,938.0,8192.0,28.36,28.23,120.0,1755.0,6801.0,31.0
86870663811338,4.589790156,2026/09/01 14:12:48.827,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,45.0,0.0,1.0,938.0,8192.0,28.17,28.25,120.0,1755.0,6801.0,31.0
