received_perf_counter_ns,seconds_since_first_sample,timestamp,index,name,uuid,pci.bus_id,driver_version,pstate,temperature.gpu,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw.instant,power.draw.average,power.limit,clocks.current.sm,clocks.current.memory,fan.speed
88057148723106,0.0,2026/09/01 14:32:35.309,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,3.0,1.0,875.0,8192.0,29.4,25.63,120.0,1755.0,6801.0,0.0
88057250780237,0.102057131,2026/09/01 14:32:35.414,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,3.0,1.0,875.0,8192.0,29.4,25.63,120.0,1755.0,6801.0,0.0
88057352917718,0.204194612,2026/09/01 14:32:35.516,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,3.0,1.0,875.0,8192.0,29.4,25.63,120.0,1755.0,6801.0,0.0
88057454759715,0.306036609,2026/09/01 14:32:35.618,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,3.0,1.0,875.0,8192.0,29.4,25.63,120.0,1755.0,6801.0,0.0
88057556581961,0.407858855,2026/09/01 14:32:35.720,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,3.0,1.0,875.0,8192.0,29.4,25.63,120.0,1755.0,6801.0,0.0
88057658358510,0.509635404,2026/09/01 14:32:35.822,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,3.0,1.0,875.0,8192.0,29.4,25.63,120.0,1755.0,6801.0,0.0
88057760121341,0.611398235,2026/09/01 14:32:35.924,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,3.0,1.0,875.0,8192.0,29.4,25.63,120.0,1755.0,6801.0,0.0
88057862020320,0.713297214,2026/09/01 14:32:36.025,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.06,29.08,120.0,1755.0,6801.0,0.0
88057963801508,0.815078402,2026/09/01 14:32:36.127,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.06,29.08,120.0,1755.0,6801.0,0.0
88058065757095,0.917033989,2026/09/01 14:32:36.229,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.06,29.08,120.0,1755.0,6801.0,0.0
88058167541890,1.018818784,2026/09/01 14:32:36.331,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.06,29.08,120.0,1755.0,6801.0,0.0
88058269513789,1.120790683,2026/09/01 14:32:36.433,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.06,29.08,120.0,1755.0,6801.0,0.0
88058371542514,1.222819408,2026/09/01 14:32:36.535,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.04,29.05,120.0,1755.0,6801.0,0.0
88058473494604,1.324771498,2026/09/01 14:32:36.637,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.04,29.05,120.0,1755.0,6801.0,0.0
88058575322951,1.426599845,2026/09/01 14:32:36.739,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.04,29.05,120.0,1755.0,6801.0,0.0
88058677119954,1.528396848,2026/09/01 14:32:36.841,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.04,29.05,120.0,1755.0,6801.0,0.0
88058779064165,1.630341059,2026/09/01 14:32:36.942,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.04,29.05,120.0,1755.0,6801.0,0.0
88058881253106,1.73253,2026/09/01 14:32:37.044,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.06,29.09,120.0,1755.0,6801.0,0.0
88058983147827,1.834424721,2026/09/01 14:32:37.147,0.0,NVIDIA GeForce RTX 3050 OEM,GPU-234713d7-e691-1f3e-f20d-851ede38469f,00000000:01:00.0,580.173.02,P2,59.0,1.0,1.0,875.0,8192.0,29.06,29.09,120.0,1755.0,6801.0,0.0
