perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2561378199080,1788985721.9727263,baseline_boundary_before,14.612,1.221,11.963,1665430
2561378123150,1788985721.9729695,baseline,14.612,1.221,11.963,1983950
2561388226630,1788985721.9824414,baseline,14.55,1.216,11.965,1352620
2561398224700,1788985721.9924402,baseline,14.437,1.206,11.966,1353460
2561408226040,1788985722.002443,baseline,14.437,1.206,11.967,1354830
2561418224640,1788985722.0124373,baseline,14.437,1.206,11.966,1350470
2561428223970,1788985722.0224357,baseline,14.412,1.204,11.966,1349470
2561438223220,1788985722.0324354,baseline,14.437,1.206,11.966,1350220
2561448223410,1788985722.0424356,baseline,14.425,1.205,11.966,1349760
2561458225310,1788985722.052439,baseline,14.437,1.206,11.966,1351410
2561468223680,1788985722.062436,baseline,14.437,1.206,11.967,1350120
2561478224010,1788985722.072439,baseline,14.437,1.206,11.966,1352670
2561488223250,1788985722.082437,baseline,14.462,1.207,11.967,1351610
2561498225100,1788985722.0924375,baseline,14.412,1.204,11.966,1350080
2561508225210,1788985722.1024396,baseline,14.45,1.207,11.966,1352110
2561518223690,1788985722.1124334,baseline,14.412,1.204,11.966,1347600
2561528223800,1788985722.1224372,baseline,14.437,1.206,11.966,1350990
2561538223780,1788985722.132439,baseline,14.437,1.207,11.966,1352890
2561548223910,1788985722.1424365,baseline,14.437,1.207,11.966,1350580
2561558225360,1788985722.1524398,baseline,14.425,1.206,11.966,1352050
2561568224190,1788985722.1624362,baseline,14.437,1.204,11.967,1349940
2561578224270,1788985722.1724412,baseline,14.425,1.206,11.966,1354880
2561588223840,1788985722.1824367,baseline,14.437,1.206,11.966,1350700
2561598223890,1788985722.1924355,baseline,14.45,1.207,11.966,1349340
2561608225040,1788985722.2024393,baseline,14.437,1.206,11.966,1352290
2561618224340,1788985722.2124362,baseline,14.437,1.206,11.966,1349800
2561628224150,1788985722.2224386,baseline,14.437,1.207,11.966,1352620
2561638224860,1788985722.2324395,baseline,14.425,1.204,11.966,1352550
2561648222950,1788985722.2424364,baseline,14.45,1.207,11.967,1351080
2561658225750,1788985722.2524428,baseline,14.437,1.206,11.967,1354990
2561668222820,1788985722.2624362,baseline,14.45,1.207,11.966,1351270
2561678223920,1788985722.272438,baseline,14.437,1.206,11.966,1351930
2561688223910,1788985722.2824364,baseline,14.437,1.206,11.967,1350170
2561698223000,1788985722.292436,baseline,14.437,1.206,11.966,1350900
2561708224940,1788985722.3024402,baseline,14.425,1.204,11.966,1352990
2561718224550,1788985722.3124382,baseline,14.437,1.206,11.967,1351450
2561728223170,1788985722.3224382,baseline,14.437,1.206,11.966,1352810
2561738223610,1788985722.3324375,baseline,14.45,1.207,11.966,1351870
2561748223250,1788985722.3424368,baseline,14.437,1.206,11.966,1351480
2561758225470,1788985722.352439,baseline,14.437,1.206,11.966,1351400
2561768224310,1788985722.3624387,baseline,14.45,1.207,11.966,1352250
2561778223400,1788985722.372436,baseline,14.425,1.204,11.966,1350450
2561788223260,1788985722.38244,baseline,14.45,1.207,11.967,1355290
2561798222950,1788985722.3924346,baseline,14.437,1.206,11.966,1349680
2561808225830,1788985722.4024394,baseline,14.437,1.207,11.966,1351310
2561818224160,1788985722.4124365,baseline,14.437,1.206,11.966,1350160
