perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2448541460550,1788985609.1360047,baseline_boundary_before,14.637,1.224,11.962,1682100
2448541376460,1788985609.1362462,baseline,14.637,1.224,11.962,2007550
2448551477860,1788985609.1457064,baseline,14.475,1.21,11.966,1366350
2448561474630,1788985609.1556885,baseline,14.437,1.206,11.966,1351490
2448571474540,1788985609.1657262,baseline,14.45,1.207,11.966,1389600
2448581475190,1788985609.1756868,baseline,14.437,1.207,11.967,1349630
2448591474500,1788985609.1857057,baseline,14.425,1.206,11.966,1369070
2448601474790,1788985609.195688,baseline,14.437,1.206,11.966,1351080
2448611474850,1788985609.205707,baseline,14.437,1.206,11.967,1369930
2448621473870,1788985609.2156909,baseline,14.45,1.207,11.966,1354680
2448631474970,1788985609.225703,baseline,14.425,1.205,11.966,1365820
2448641474440,1788985609.2356927,baseline,14.437,1.206,11.966,1356000
2448651474340,1788985609.2457047,baseline,14.437,1.207,11.966,1368220
2448661475480,1788985609.2556908,baseline,14.425,1.206,11.966,1353160
2448671474490,1788985609.2657206,baseline,14.425,1.206,11.965,1383840
2448681475150,1788985609.2756917,baseline,14.425,1.205,11.967,1354320
2448691474410,1788985609.2857215,baseline,14.45,1.207,11.966,1385050
2448701474230,1788985609.2956867,baseline,14.425,1.206,11.966,1350270
2448711474350,1788985609.3057191,baseline,14.425,1.206,11.966,1382410
2448721473680,1788985609.3156888,baseline,14.425,1.206,11.967,1353170
2448731473620,1788985609.3257,baseline,14.437,1.206,11.966,1364490
2448741474710,1788985609.3356912,baseline,14.45,1.207,11.966,1354380
2448751474600,1788985609.345722,baseline,14.425,1.205,11.967,1385320
2448761474170,1788985609.3556883,baseline,14.45,1.208,11.967,1352050
2448771474510,1788985609.3657095,baseline,14.412,1.205,11.966,1373030
2448781475270,1788985609.3756924,baseline,14.437,1.206,11.966,1354830
2448791475000,1788985609.3857212,baseline,14.45,1.207,11.966,1383910
2448801477100,1788985609.395699,baseline,14.425,1.205,11.966,1359800
2448811475080,1788985609.4057055,baseline,14.475,1.209,11.966,1368350
2448821475600,1788985609.4156885,baseline,14.425,1.205,11.966,1350670
2448831476740,1788985609.425722,baseline,14.462,1.208,11.966,1382850
2448841474800,1788985609.4356914,baseline,14.425,1.205,11.966,1354580
2448851475070,1788985609.4457052,baseline,14.45,1.208,11.967,1368210
2448861474710,1788985609.4556887,baseline,14.437,1.206,11.965,1351600
2448871473960,1788985609.465723,baseline,14.425,1.206,11.966,1387160
2448881475060,1788985609.4756882,baseline,14.45,1.207,11.966,1350950
2448891474930,1788985609.4857054,baseline,14.412,1.205,11.966,1368280
2448901474270,1788985609.4956887,baseline,14.45,1.207,11.967,1352170
2448911475190,1788985609.5057216,baseline,14.412,1.205,11.966,1384100
2448921474710,1788985609.5156887,baseline,14.437,1.206,11.966,1351690
2448931474720,1788985609.5257063,baseline,14.437,1.206,11.966,1369330
2448941473860,1788985609.5356874,baseline,14.437,1.206,11.966,1351190
2448951473950,1788985609.5457242,baseline,14.437,1.207,11.966,1387840
2448961473810,1788985609.5556881,baseline,14.425,1.206,11.966,1352240
2448971474620,1788985609.565702,baseline,14.45,1.207,11.966,1365210
2448981474420,1788985609.575689,baseline,14.412,1.205,11.967,1352370
2448991474040,1788985609.5857177,baseline,14.45,1.206,11.966,1381420
2449001474400,1788985609.5956905,baseline,14.425,1.205,11.966,1353700
2449011473950,1788985609.6057065,baseline,14.437,1.207,11.966,1370220
2449021474800,1788985609.6156874,baseline,14.437,1.207,11.966,1350490
2449031474820,1788985609.6257205,baseline,14.425,1.205,11.967,1383760
2449041474670,1788985609.6356864,baseline,14.45,1.207,11.967,1349580
2449051474710,1788985609.645707,baseline,14.437,1.206,11.966,1370070
2449061475280,1788985609.655688,baseline,14.437,1.207,11.966,1350490
2449071474990,1788985609.6657174,baseline,14.425,1.205,11.966,1380400
2449081474570,1788985609.675689,baseline,14.437,1.206,11.966,1352100
2449091475270,1788985609.6857092,baseline,14.437,1.206,11.966,1371800
2449101474240,1788985609.6956878,baseline,14.437,1.205,11.966,1351070
2449111474830,1788985609.7057228,baseline,14.437,1.207,11.967,1385750
2449121474370,1788985609.7156906,baseline,14.425,1.205,11.966,1353930
2449131474760,1788985609.7257051,baseline,14.45,1.207,11.966,1368170
2449141474210,1788985609.735688,baseline,14.425,1.206,11.966,1351480
2449151473220,1788985609.7457178,baseline,14.437,1.206,11.966,1382300
2449161475390,1788985609.755692,baseline,14.425,1.206,11.966,1354550
2449171474330,1788985609.765708,baseline,14.425,1.204,11.967,1371600
2449181473630,1788985609.7756882,baseline,14.437,1.206,11.966,1352500
2449191474320,1788985609.78572,baseline,14.425,1.206,11.966,1383590
2449201474980,1788985609.7956896,baseline,14.437,1.206,11.967,1352310
2449211473790,1788985609.8057177,baseline,14.437,1.206,11.966,1381560
2449221474880,1788985609.8156908,baseline,14.437,1.207,11.966,1353610
2449231475290,1788985609.8257215,baseline,14.437,1.206,11.966,1384110
2449241474370,1788985609.8356874,baseline,14.437,1.204,11.966,1350660
2449251474150,1788985609.8457038,baseline,14.437,1.206,11.966,1367600
2449261475090,1788985609.8556936,baseline,14.425,1.205,11.966,1356310
2449271474090,1788985609.8657203,baseline,14.437,1.207,11.966,1384230
2449281474240,1788985609.875689,baseline,14.425,1.205,11.966,1352700
2449291474210,1788985609.88571,baseline,14.437,1.207,11.966,1373750
2449301474580,1788985609.8956902,baseline,14.437,1.206,11.966,1353690
2449311474680,1788985609.9057233,baseline,14.437,1.205,11.967,1386530
2449321474660,1788985609.9156907,baseline,14.462,1.208,11.966,1354110
2449331474830,1788985609.9257107,baseline,14.425,1.205,11.966,1373680
2449341473650,1788985609.9356883,baseline,14.437,1.207,11.966,1352680
2449351475190,1788985609.9457176,baseline,14.412,1.204,11.966,1380300
2449361475300,1788985609.955693,baseline,14.45,1.206,11.966,1355800
2449371475490,1788985609.9657044,baseline,14.425,1.206,11.966,1367200
