perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2839197780430,1788985999.7923043,baseline_boundary_before,14.625,1.223,11.963,1662050
2839197704140,1788985999.7925446,baseline,14.625,1.223,11.963,1977840
2839207807240,1788985999.8020546,baseline,14.587,1.219,11.965,1385440
2839217805240,1788985999.812017,baseline,14.45,1.208,11.966,1349210
2839227805020,1788985999.8220203,baseline,14.45,1.207,11.966,1352800
2839237804850,1788985999.832018,baseline,14.437,1.205,11.966,1350690
2839247804970,1788985999.8420246,baseline,14.437,1.206,11.966,1357070
2839257803970,1788985999.8520153,baseline,14.425,1.206,11.967,1349070
2839267806000,1788985999.862019,baseline,14.437,1.207,11.966,1350850
2839277804430,1788985999.8720171,baseline,14.437,1.206,11.966,1350480
2839287805170,1788985999.8820233,baseline,14.45,1.208,11.966,1355890
2839297804350,1788985999.892021,baseline,14.425,1.205,11.967,1354390
2839307804550,1788985999.902019,baseline,14.437,1.203,11.967,1352390
2839317805770,1788985999.912021,baseline,14.45,1.207,11.966,1352860
2839327804970,1788985999.9220228,baseline,14.425,1.205,11.967,1355570
2839337804850,1788985999.9320154,baseline,14.45,1.207,11.966,1348210
2839347805110,1788985999.942021,baseline,14.437,1.206,11.966,1353250
2839357804800,1788985999.952022,baseline,14.437,1.206,11.967,1354630
2839367804150,1788985999.9620247,baseline,14.425,1.206,11.967,1358380
2839377804910,1788985999.9720163,baseline,14.437,1.204,11.967,1349490
2839387804640,1788985999.9820201,baseline,14.425,1.205,11.966,1353050
2839397804670,1788985999.9920192,baseline,14.437,1.206,11.966,1352600
2839407804670,1788986000.0020254,baseline,14.437,1.207,11.967,1358680
2839417805650,1788986000.012019,baseline,14.437,1.206,11.966,1351020
2839427804530,1788986000.0220234,baseline,14.45,1.207,11.967,1356810
2839437804900,1788986000.0320172,baseline,14.425,1.205,11.966,1350100
2839447804800,1788986000.042021,baseline,14.437,1.204,11.965,1354130
2839457804420,1788986000.0520182,baseline,14.437,1.207,11.967,1351550
2839467805010,1788986000.0620215,baseline,14.425,1.205,11.966,1354540
2839477804350,1788986000.0720177,baseline,14.45,1.207,11.967,1351130
2839487804930,1788986000.0820234,baseline,14.425,1.206,11.966,1356350
2839497804020,1788986000.0920181,baseline,14.45,1.207,11.967,1352010
2839507803590,1788986000.1020226,baseline,14.425,1.206,11.966,1356880
2839517804590,1788986000.1120162,baseline,14.437,1.206,11.966,1349340
2839527804930,1788986000.1220248,baseline,14.437,1.206,11.967,1357890
2839537804550,1788986000.1320167,baseline,14.437,1.206,11.966,1349780
2839547804560,1788986000.142021,baseline,14.437,1.206,11.967,1354350
2839557803470,1788986000.1520157,baseline,14.412,1.204,11.966,1350140
2839567805300,1788986000.1620243,baseline,14.45,1.207,11.967,1356970
2839577804680,1788986000.172017,baseline,14.425,1.205,11.966,1350320
2839587805220,1788986000.1820226,baseline,14.425,1.205,11.966,1355740
2839597804920,1788986000.19202,baseline,14.437,1.206,11.967,1352910
2839607805540,1788986000.2020266,baseline,14.437,1.206,11.966,1358730
2839617805160,1788986000.2120206,baseline,14.425,1.205,11.967,1353530
2839627805450,1788986000.2220256,baseline,14.425,1.205,11.966,1358050
2839637804780,1788986000.232018,baseline,14.437,1.207,11.966,1350890
2839647805110,1788986000.2420194,baseline,14.425,1.205,11.966,1352060
2839657805630,1788986000.2520208,baseline,14.437,1.206,11.967,1352930
2839667805320,1788986000.262019,baseline,14.425,1.205,11.966,1351320
2839677804460,1788986000.272016,baseline,14.425,1.206,11.966,1349610
2839687805630,1788986000.2820222,baseline,14.437,1.206,11.966,1354430
2839697805080,1788986000.292018,baseline,14.425,1.205,11.966,1350680
2839707805960,1788986000.3020234,baseline,14.437,1.207,11.966,1355110
2839717805590,1788986000.3120155,baseline,14.425,1.205,11.966,1347900
2839727804760,1788986000.3220365,baseline,14.45,1.207,11.966,1369610
