passage,samples,accelerator_mean_ms,device_call_mean_ms,application_e2e_mean_ms,passage_duration_ms,passage_throughput_inf_s
0,30,0.18120199999999997,0.5002516666666667,0.709619,22.14456,1354.7345262222414
1,30,0.17722499999999997,0.48839899999999997,0.6959040000000001,21.69167,1383.0193802505755
2,30,0.1784726666666666,0.48954633333333336,0.6983026666666666,21.74907,1379.3693247573344
3,30,0.18198466666666668,0.49488133333333334,0.7033186666666666,21.92068,1368.5706830262563
4,30,0.17926466666666668,0.4945786666666668,0.703583,21.92127,1368.5338486319451
5,30,0.17691066666666666,0.4911246666666667,0.698295,21.75117,1379.2361514346126
6,30,0.17695366666666662,0.489321,0.6968043333333335,21.70662,1382.0668533378298
7,30,0.1769166666666667,0.49029900000000004,0.6969983333333335,21.72134,1381.130261761015
8,30,0.18216233333333334,0.5015103333333333,0.7124626666666665,22.1879,1352.0883003799368
9,30,0.17625033333333334,0.4865756666666667,0.6934720000000001,21.61268,1388.0740380184227
10,30,0.17780800000000002,0.48754299999999995,0.6946096666666667,21.64359,1386.091678875824
11,30,0.175898,0.4873373333333333,0.6955086666666667,21.66667,1384.615171597666
12,30,0.1817446666666667,0.4931126666666667,0.7024849999999999,21.88814,1370.6052684239044
13,30,0.17826233333333336,0.49207999999999996,0.7000763333333333,21.84085,1373.5729149735473
14,30,0.17687766666666668,0.4889266666666667,0.6979216666666667,21.74819,1379.4251383678366
15,30,0.176447,0.4859796666666668,0.6926000000000001,21.58226,1390.030515803257
16,30,0.177669,0.48706733333333324,0.6949203333333334,21.6679,1384.5365725335635
17,30,0.18280233333333334,0.49690799999999996,0.705406,21.99719,1363.8105594396375
18,30,0.17782400000000004,0.48733800000000005,0.6946809999999999,21.67943,1383.8002198397282
19,30,0.17662933333333336,0.48627933333333334,0.692336,21.57638,1390.409327236543
20,30,0.17638000000000004,0.4880376666666667,0.6952763333333334,21.66727,1384.5768294759794
21,30,0.1805736666666667,0.4928763333333333,0.7014393333333333,21.85784,1372.5052429700281
22,30,0.178949,0.490685,0.6988106666666666,21.78289,1377.227723226808
23,30,0.17635466666666666,0.4851669999999999,0.6930706666666667,21.61756,1387.7606908457753
24,30,0.1780743333333333,0.4875123333333333,0.6937916666666667,21.63381,1386.7182895661929
25,30,0.1768106666666667,0.4885353333333333,0.6947186666666666,21.64856,1385.7734648401556
26,30,0.18286333333333332,0.5011873333333334,0.7099973333333335,22.1206,1356.2019113405604
27,30,0.17724199999999998,0.484765,0.6910823333333334,21.54006,1392.7537806301375
28,30,0.17618566666666663,0.48287933333333327,0.6887356666666665,21.47029,1397.279682761621
29,30,0.17718866666666663,0.48520066666666667,0.6911979999999999,21.54653,1392.3355640096108
30,30,0.17898499999999995,0.48772433333333337,0.6951640000000001,21.68455,1383.4734868835185
31,30,0.18015499999999998,0.49402700000000005,0.7019856666666667,21.89544,1370.1483048525174
32,30,0.17572800000000002,0.48212833333333344,0.6881456666666668,21.50816,1394.8194545698007
33,30,0.17625633333333332,0.4827903333333333,0.689254,21.48223,1396.503063229469
34,30,0.17646900000000001,0.48375166666666675,0.6867429999999999,21.40518,1401.5299100498105
35,30,0.18660866666666662,0.499458,0.7040803333333334,21.96092,1366.0629882536798
36,30,0.17493966666666666,0.4829266666666667,0.6861653333333334,21.3944,1402.236099166137
37,30,0.17571066666666665,0.48220766666666665,0.6847369999999999,21.34911,1405.2108026985668
38,30,0.17640533333333336,0.4821063333333333,0.6846816666666667,21.35995,1404.497669704283
39,30,0.17763166666666666,0.4837486666666667,0.686999,21.41758,1400.7184751965442
40,30,0.1824136666666667,0.49280066666666666,0.6987739999999999,21.78168,1377.304229976751
41,30,0.17549166666666668,0.48303,0.6860833333333333,21.41548,1400.8558295214489
42,30,0.176082,0.4824646666666667,0.6851613333333333,21.36103,1404.4266592013587
43,30,0.1774463333333333,0.48405166666666677,0.6868036666666667,21.42545,1400.2039630439501
