perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2084191646200,1788985244.784515,baseline_boundary_before,14.637,1.223,11.962,1650230
2084191537920,1788985244.784412,setup,14.637,1.223,11.962,1995480
2084291649870,1788985244.8845186,baseline,14.437,1.206,11.966,1407980
2084391642610,1788985244.9845111,baseline,14.425,1.206,11.966,1369960
2084491638730,1788985245.0845072,baseline,14.437,1.206,11.965,1374280
2084591638830,1788985245.1845074,baseline,14.425,1.204,11.966,1389470
2084691640090,1788985245.2845087,baseline,14.412,1.204,11.966,1369070
2084791640240,1788985245.3845086,baseline,14.412,1.205,11.966,1372180
2084891642600,1788985245.4845111,baseline,14.425,1.204,11.966,1382860
2084991640810,1788985245.5845091,baseline,14.425,1.205,11.965,1369670
2085091639870,1788985245.6845083,baseline,14.425,1.205,11.966,1373090
2085191640280,1788985245.7845087,baseline,14.412,1.204,11.966,1369380
2085291644490,1788985245.8845131,baseline,14.425,1.205,11.966,1375260
2085391640560,1788985245.984509,baseline,14.425,1.204,11.966,1371870
2085491639640,1788985246.0845082,baseline,14.4,1.203,11.966,1372550
2085591640130,1788985246.1845086,baseline,14.425,1.204,11.966,1373210
2085691640520,1788985246.284509,baseline,14.412,1.205,11.966,1370550
2085791637740,1788985246.3845065,baseline,14.412,1.204,11.966,1371790
2085891641080,1788985246.4845097,baseline,14.425,1.205,11.967,1394840
2085991638680,1788985246.5845072,baseline,14.412,1.204,11.966,1372790
2086091639440,1788985246.6845078,baseline,14.412,1.204,11.966,1369480
2086191638440,1788985246.7845068,baseline,14.4,1.204,11.966,1372480
2086291640940,1788985246.8845093,baseline,14.412,1.204,11.966,1371590
2086391639360,1788985246.9845078,baseline,14.412,1.205,11.966,1370400
2086491640970,1788985247.0845094,baseline,14.412,1.205,11.966,1371910
2086591639250,1788985247.1845076,baseline,14.412,1.204,11.966,1373530
2086691642540,1788985247.2845113,baseline,14.437,1.206,11.966,1373740
2086791640440,1788985247.3845088,baseline,14.45,1.207,11.966,1369120
2086891650270,1788985247.4845195,baseline,14.462,1.209,11.965,1421440
2086991646570,1788985247.5845156,baseline,14.437,1.206,11.965,1380970
2087091639570,1788985247.684508,baseline,14.4,1.204,11.965,1373880
2087191640530,1788985247.784509,baseline,14.412,1.204,11.966,1388360
2087291641400,1788985247.88451,baseline,14.412,1.204,11.966,1372440
2087391640320,1788985247.984509,baseline,14.412,1.205,11.966,1370010
2087491640700,1788985248.0845091,baseline,14.412,1.204,11.966,1374480
2087591640290,1788985248.184509,baseline,14.425,1.205,11.965,1374560
2087691648740,1788985248.2845173,baseline,14.425,1.205,11.966,1444240
2087791645700,1788985248.3845143,baseline,14.412,1.204,11.966,1375430
2087891641310,1788985248.4845097,baseline,14.412,1.204,11.966,1373750
2087991640670,1788985248.5845091,baseline,14.425,1.205,11.966,1389530
2088091640760,1788985248.6845093,baseline,14.4,1.204,11.965,1373500
2088191639920,1788985248.7845085,baseline,14.412,1.205,11.966,1371730
2088291640900,1788985248.8845093,baseline,14.412,1.205,11.966,1372660
2088391639220,1788985248.9845076,baseline,14.425,1.205,11.966,1369990
2088491640020,1788985249.0845084,baseline,14.412,1.204,11.966,1378220
2088591638080,1788985249.1845067,baseline,14.412,1.205,11.965,1370800
2088691641200,1788985249.2845097,baseline,14.412,1.205,11.966,1373230
2088791639150,1788985249.3845077,baseline,14.425,1.205,11.966,1373160
2088891641110,1788985249.4845097,baseline,14.4,1.204,11.966,1452590
2088991641380,1788985249.5845098,baseline,14.412,1.204,11.966,1371940
2089091640650,1788985249.684509,baseline,14.425,1.205,11.965,1370590
2089191641230,1788985249.7845097,baseline,14.412,1.204,11.966,1375160
2089198355130,1788985249.7912233,baseline_boundary_after,14.45,1.207,11.966,1398470
2089203609750,1788985249.7964797,benchmark_boundary_before,14.5,1.212,11.965,1643230
2089291686910,1788985249.8845565,benchmark,14.65,1.224,11.962,6510710
2089391885320,1788985249.9847553,benchmark,14.637,1.224,11.962,5588920
2089491698100,1788985250.084568,benchmark,14.65,1.224,11.962,6131450
2089591993580,1788985250.184863,benchmark,14.612,1.222,11.962,4844460
2089692276460,1788985250.2851458,benchmark,14.637,1.223,11.962,6187970
2089791797680,1788985250.3846672,benchmark,14.625,1.222,11.962,4818120
2089891763050,1788985250.4846325,benchmark,14.625,1.224,11.962,5397190
2089992092980,1788985250.5849626,benchmark,14.625,1.222,11.962,4822310
2090092194060,1788985250.6850636,benchmark,14.625,1.226,11.962,6003780
2090192044210,1788985250.784914,benchmark,14.637,1.223,11.962,4710100
2090291817870,1788985250.8846877,benchmark,14.612,1.221,11.962,5506020
2090391932410,1788985250.9848022,benchmark,14.637,1.223,11.962,5532160
2090491805170,1788985251.0846748,benchmark,14.625,1.222,11.962,4741910
2090591697400,1788985251.1845667,benchmark,14.612,1.224,11.962,5605370
2090691693560,1788985251.2845635,benchmark,14.625,1.222,11.962,5697050
2090791930770,1788985251.3848004,benchmark,14.625,1.222,11.962,6083110
2090892030020,1788985251.4848998,benchmark,14.637,1.223,11.962,5555350
2090992276300,1788985251.585146,benchmark,14.612,1.222,11.962,6183010
2091091693680,1788985251.684563,benchmark,14.637,1.225,11.962,5524490
2091191842920,1788985251.7847126,benchmark,14.625,1.222,11.962,6035310
2091291963780,1788985251.8848333,benchmark,14.625,1.224,11.962,5483620
2091391894620,1788985251.984764,benchmark,14.625,1.222,11.962,5662480
2091492179340,1788985252.0850492,benchmark,14.625,1.223,11.962,4725030
2091592067970,1788985252.1849375,benchmark,14.637,1.223,11.963,4775290
2091692217020,1788985252.2850866,benchmark,14.625,1.223,11.962,4717980
2091791688930,1788985252.3845587,benchmark,14.637,1.224,11.962,5245780
2091892220770,1788985252.4850903,benchmark,14.612,1.222,11.962,6099630
2091992172350,1788985252.585042,benchmark,14.625,1.224,11.962,5501020
2092092257300,1788985252.685127,benchmark,14.637,1.223,11.962,6082050
2092192224820,1788985252.7850943,benchmark,14.612,1.222,11.962,4854920
2092291687510,1788985252.8845658,benchmark,14.625,1.222,11.962,6072670
2092391766690,1788985252.984636,benchmark,14.625,1.223,11.962,5558570
2092491835950,1788985253.0847058,benchmark,14.625,1.224,11.962,5569600
2092592126660,1788985253.1849966,benchmark,14.637,1.223,11.963,5525170
2092692108150,1788985253.2849777,benchmark,14.612,1.222,11.962,4738730
2092792255340,1788985253.385125,benchmark,14.625,1.222,11.962,5659230
