cpu 0 pkg 0 die 0 l3 0 node 0 lnode 0 core 0 ht_id 0 siblings 0 1 -1 -1
cpu 1 pkg 0 die 0 l3 0 node 0 lnode 0 core 0 ht_id 1 siblings 0 1 -1 -1
cpu 2 pkg 0 die 0 l3 0 node 0 lnode 0 core 4 ht_id 0 siblings 2 3 -1 -1
cpu 3 pkg 0 die 0 l3 0 node 0 lnode 0 core 4 ht_id 1 siblings 2 3 -1 -1
cpu 4 pkg 0 die 0 l3 0 node 0 lnode 0 core 8 ht_id 0 siblings 4 5 -1 -1
cpu 5 pkg 0 die 0 l3 0 node 0 lnode 0 core 8 ht_id 1 siblings 4 5 -1 -1
cpu 6 pkg 0 die 0 l3 0 node 0 lnode 0 core 12 ht_id 0 siblings 6 7 -1 -1
cpu 7 pkg 0 die 0 l3 0 node 0 lnode 0 core 12 ht_id 1 siblings 6 7 -1 -1
cpu 8 pkg 0 die 0 l3 0 node 0 lnode 0 core 16 ht_id 0 siblings 8 9 -1 -1
cpu 9 pkg 0 die 0 l3 0 node 0 lnode 0 core 16 ht_id 1 siblings 8 9 -1 -1
cpu 10 pkg 0 die 0 l3 0 node 0 lnode 0 core 20 ht_id 0 siblings 10 11 -1 -1
cpu 11 pkg 0 die 0 l3 0 node 0 lnode 0 core 20 ht_id 1 siblings 10 11 -1 -1
cpu 12 pkg 0 die 0 l3 0 node 0 lnode 0 core 24 ht_id 0 siblings 12 13 -1 -1
cpu 13 pkg 0 die 0 l3 0 node 0 lnode 0 core 24 ht_id 1 siblings 12 13 -1 -1
cpu 14 pkg 0 die 0 l3 0 node 0 lnode 0 core 28 ht_id 0 siblings 14 15 -1 -1
cpu 15 pkg 0 die 0 l3 0 node 0 lnode 0 core 28 ht_id 1 siblings 14 15 -1 -1
cpu 16 pkg 0 die 0 l3 0 node 0 lnode 0 core 32 ht_id 0 siblings 16 -1 -1 -1
cpu 17 pkg 0 die 0 l3 0 node 0 lnode 0 core 33 ht_id 0 siblings 17 -1 -1 -1
cpu 18 pkg 0 die 0 l3 0 node 0 lnode 0 core 34 ht_id 0 siblings 18 -1 -1 -1
cpu 19 pkg 0 die 0 l3 0 node 0 lnode 0 core 35 ht_id 0 siblings 19 -1 -1 -1
cpu 20 pkg 0 die 0 l3 0 node 0 lnode 0 core 36 ht_id 0 siblings 20 -1 -1 -1
cpu 21 pkg 0 die 0 l3 0 node 0 lnode 0 core 37 ht_id 0 siblings 21 -1 -1 -1
cpu 22 pkg 0 die 0 l3 0 node 0 lnode 0 core 38 ht_id 0 siblings 22 -1 -1 -1
cpu 23 pkg 0 die 0 l3 0 node 0 lnode 0 core 39 ht_id 0 siblings 23 -1 -1 -1
Time_Of_Day_Seconds	Busy%	Bzy_MHz	PkgTmp	PkgWatt	CorWatt
1787686834.782471	0.84	1344	43	8.29	2.13
1787686834.884799	0.51	1094	43	8.52	0.78
1787686834.987730	0.34	1090	43	7.76	0.55
1787686835.090711	0.30	912	43	8.25	0.26
1787686835.193437	0.49	958	43	8.22	0.74
1787686835.296368	0.26	1011	43	8.54	0.70
1787686835.399272	0.92	889	43	7.45	0.55
1787686835.501248	0.74	1179	43	9.69	1.52
1787686835.603364	2.76	1620	43	11.00	2.80
1787686835.705328	1.49	1561	43	10.24	2.09
1787686835.807727	0.78	1390	43	6.62	0.96
1787686835.911396	1.10	1303	42	9.37	1.25
1787686836.013986	0.98	1228	43	7.69	1.05
1787686836.116028	0.88	1244	43	8.36	1.19
1787686836.218911	0.51	1242	43	8.30	0.82
1787686836.321007	5.97	1472	43	14.49	6.12
1787686836.423296	2.48	1621	43	11.11	2.84
1787686836.525824	0.78	1425	43	8.01	1.07
1787686836.628522	0.30	1210	43	6.22	0.59
1787686836.731310	0.31	1145	43	8.31	0.47
1787686836.834419	0.31	914	43	8.16	0.43
1787686836.936761	1.12	1044	44	8.89	1.02
1787686837.039555	0.55	1210	43	7.29	0.77
1787686837.141952	1.06	1124	43	7.96	0.83
1787686837.244537	0.91	1086	43	8.89	1.10
1787686837.346956	1.35	1274	43	9.08	1.33
1787686837.449522	1.24	1256	43	8.94	1.34
1787686837.551513	1.53	1277	44	8.16	1.31
1787686837.653944	0.71	1354	44	8.27	1.19
1787686837.756806	0.32	1113	43	7.56	0.50
1787686837.859367	5.06	1317	44	11.78	3.43
1787686837.961652	1.59	2721	43	14.21	6.91
1787686838.064246	1.20	1260	43	7.18	0.94
1787686838.166432	1.26	1393	43	8.59	1.32
1787686838.268774	0.99	1381	44	6.79	0.94
1787686838.370814	0.90	1512	43	8.84	1.33
1787686838.472971	0.97	1667	44	8.66	1.53
1787686838.574940	1.14	1550	44	8.97	1.34
1787686838.677060	1.16	1447	43	7.76	1.15
1787686838.779392	0.93	1440	43	7.19	1.01
1787686838.881663	1.29	1596	42	8.25	1.34
1787686838.983931	1.11	1405	43	7.09	0.99
1787686839.086438	1.02	1408	42	7.23	0.99
1787686839.188389	1.11	1370	43	7.80	1.17
1787686839.290722	0.93	1451	43	8.68	1.44
1787686839.392969	1.09	1454	43	8.08	1.20
1787686839.495296	1.03	1398	43	7.00	0.99
1787686839.597709	1.09	1405	43	7.34	1.03
1787686839.700151	0.99	1374	43	7.22	1.01
1787686839.802429	0.87	1489	43	7.48	1.10
1787686839.904809	1.25	1514	43	8.84	1.42
1787686840.006957	1.04	1456	43	9.18	1.44
1787686840.109126	1.08	1453	43	7.80	1.12
1787686840.211252	0.99	1489	43	7.41	1.10
1787686840.313511	1.00	1440	43	7.27	1.03
1787686840.415722	0.98	1433	42	6.84	0.95
