Time_Of_Day_Seconds,Busy%,Bzy_MHz,PkgTmp,PkgWatt,CorWatt
1787686834.782471,0.84,1344.0,43.0,8.29,2.13
1787686834.884799,0.51,1094.0,43.0,8.52,0.78
1787686834.98773,0.34,1090.0,43.0,7.76,0.55
1787686835.090711,0.3,912.0,43.0,8.25,0.26
1787686835.193437,0.49,958.0,43.0,8.22,0.74
1787686835.296368,0.26,1011.0,43.0,8.54,0.7
1787686835.399272,0.92,889.0,43.0,7.45,0.55
1787686835.501248,0.74,1179.0,43.0,9.69,1.52
1787686835.603364,2.76,1620.0,43.0,11.0,2.8
1787686835.705328,1.49,1561.0,43.0,10.24,2.09
1787686835.807727,0.78,1390.0,43.0,6.62,0.96
1787686835.911396,1.1,1303.0,42.0,9.37,1.25
1787686836.013986,0.98,1228.0,43.0,7.69,1.05
1787686836.116028,0.88,1244.0,43.0,8.36,1.19
1787686836.218911,0.51,1242.0,43.0,8.3,0.82
1787686836.321007,5.97,1472.0,43.0,14.49,6.12
1787686836.423296,2.48,1621.0,43.0,11.11,2.84
1787686836.525824,0.78,1425.0,43.0,8.01,1.07
1787686836.628522,0.3,1210.0,43.0,6.22,0.59
1787686836.73131,0.31,1145.0,43.0,8.31,0.47
1787686836.834419,0.31,914.0,43.0,8.16,0.43
1787686836.936761,1.12,1044.0,44.0,8.89,1.02
1787686837.039555,0.55,1210.0,43.0,7.29,0.77
1787686837.141952,1.06,1124.0,43.0,7.96,0.83
1787686837.244537,0.91,1086.0,43.0,8.89,1.1
1787686837.346956,1.35,1274.0,43.0,9.08,1.33
1787686837.449522,1.24,1256.0,43.0,8.94,1.34
1787686837.551513,1.53,1277.0,44.0,8.16,1.31
1787686837.653944,0.71,1354.0,44.0,8.27,1.19
1787686837.756806,0.32,1113.0,43.0,7.56,0.5
1787686837.859367,5.06,1317.0,44.0,11.78,3.43
1787686837.961652,1.59,2721.0,43.0,14.21,6.91
1787686838.064246,1.2,1260.0,43.0,7.18,0.94
1787686838.166432,1.26,1393.0,43.0,8.59,1.32
1787686838.268774,0.99,1381.0,44.0,6.79,0.94
1787686838.370814,0.9,1512.0,43.0,8.84,1.33
1787686838.472971,0.97,1667.0,44.0,8.66,1.53
1787686838.57494,1.14,1550.0,44.0,8.97,1.34
1787686838.67706,1.16,1447.0,43.0,7.76,1.15
1787686838.779392,0.93,1440.0,43.0,7.19,1.01
1787686838.881663,1.29,1596.0,42.0,8.25,1.34
1787686838.983931,1.11,1405.0,43.0,7.09,0.99
1787686839.086438,1.02,1408.0,42.0,7.23,0.99
1787686839.188389,1.11,1370.0,43.0,7.8,1.17
1787686839.290722,0.93,1451.0,43.0,8.68,1.44
1787686839.392969,1.09,1454.0,43.0,8.08,1.2
1787686839.495296,1.03,1398.0,43.0,7.0,0.99
1787686839.597709,1.09,1405.0,43.0,7.34,1.03
1787686839.700151,0.99,1374.0,43.0,7.22,1.01
1787686839.802429,0.87,1489.0,43.0,7.48,1.1
1787686839.904809,1.25,1514.0,43.0,8.84,1.42
1787686840.006957,1.04,1456.0,43.0,9.18,1.44
1787686840.109126,1.08,1453.0,43.0,7.8,1.12
1787686840.211252,0.99,1489.0,43.0,7.41,1.1
1787686840.313511,1.0,1440.0,43.0,7.27,1.03
1787686840.415722,0.98,1433.0,42.0,6.84,0.95
1787686840.518224,1.12,1441.0,42.0,7.34,1.06
1787686840.620391,1.18,1467.0,43.0,7.69,1.21
1787686840.722665,1.04,1480.0,43.0,7.29,1.07
1787686840.824932,0.84,1545.0,43.0,7.14,1.01
1787686840.927302,0.98,1462.0,43.0,7.4,1.06
1787686841.029522,1.22,1480.0,44.0,8.3,1.41
1787686841.131953,1.02,1454.0,43.0,8.37,1.15
1787686841.233984,1.74,1503.0,43.0,9.05,1.77
1787686841.33641,1.21,1424.0,42.0,8.42,1.4
1787686841.438488,1.16,1510.0,42.0,8.33,1.34
1787686841.540752,0.98,1535.0,43.0,8.6,1.33
1787686841.642883,1.07,1482.0,43.0,8.6,1.35
1787686841.745188,1.16,1544.0,44.0,8.52,1.32
1787686841.847476,1.11,1407.0,43.0,8.31,1.18
1787686841.949754,1.5,1367.0,43.0,8.87,1.41
1787686842.051872,1.13,1419.0,43.0,9.81,1.78
1787686842.154327,1.08,1394.0,43.0,8.67,1.41
1787686842.25638,1.58,1572.0,43.0,9.93,1.96
1787686842.358797,1.01,1507.0,43.0,8.66,1.44
1787686842.46102,0.93,1559.0,43.0,9.11,1.44
1787686842.563031,1.1,1599.0,43.0,8.76,1.46
1787686842.664985,1.2,1554.0,43.0,9.46,1.58
1787686842.767371,1.17,1421.0,43.0,9.08,1.47
1787686842.869526,1.04,1485.0,43.0,8.9,1.44
1787686842.971979,1.17,1416.0,43.0,8.23,1.28
1787686843.074172,1.09,1452.0,43.0,7.24,1.05
1787686843.1764,1.26,1431.0,43.0,8.87,1.32
1787686843.278508,1.18,1456.0,43.0,8.43,1.33
1787686843.381065,1.12,1513.0,43.0,8.03,1.24
1787686843.48325,1.22,1446.0,43.0,9.0,1.36
1787686843.585655,1.17,1381.0,42.0,7.19,1.13
1787686843.688007,1.18,1418.0,43.0,8.18,1.17
1787686843.790185,1.21,1435.0,43.0,9.02,1.37
1787686843.892375,1.9,1553.0,43.0,8.97,1.74
1787686843.994676,1.11,1436.0,42.0,8.16,1.22
1787686844.09688,1.32,1398.0,43.0,8.92,1.34
1787686844.199257,1.17,1417.0,43.0,7.74,1.16
1787686844.301354,1.24,1431.0,42.0,8.0,1.23
1787686844.403363,1.19,1508.0,42.0,9.22,1.67
1787686844.505431,0.82,1506.0,42.0,7.44,1.1
1787686844.608039,2.23,1593.0,43.0,9.24,1.97
1787686844.710409,0.92,1847.0,43.0,8.26,3.33
1787686844.812982,0.31,1168.0,43.0,10.26,1.05
1787686844.915684,0.52,1023.0,42.0,7.34,0.6
1787686845.018616,0.39,976.0,43.0,6.59,0.58
1787686845.121359,0.34,986.0,42.0,6.63,0.44
1787686845.224446,0.26,1001.0,42.0,7.58,0.49
1787686845.327354,0.25,967.0,42.0,5.87,0.21
1787686845.430464,0.32,939.0,43.0,6.64,0.33
1787686845.533302,0.41,944.0,42.0,6.83,0.36
1787686845.635907,0.76,1026.0,42.0,7.88,0.93
1787686845.738596,0.33,1014.0,43.0,8.26,0.53
1787686845.841598,0.35,1001.0,42.0,7.16,0.56
1787686845.94449,0.62,1016.0,43.0,7.03,0.44
1787686846.047361,0.36,957.0,43.0,6.52,0.64
1787686846.14993,0.37,1001.0,43.0,8.33,0.97
1787686846.252925,0.32,1064.0,42.0,7.63,0.55
