cycle,images,latency_mean_ms,latency_median_ms,latency_std_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,effective_fps
1,5000,1.601230702328682,1.5957000255584717,0.04649345791722022,1.6182610273361206,1.7173608195781709,1.5770000219345093,3.640779972076416,619.2994238931117
2,5000,1.60325880651474,1.5962599515914917,0.047162915398194255,1.6228004932403564,1.7660430526733444,1.5774500370025635,3.857919931411743,618.5822539623654
3,5000,1.593372179055214,1.5904799699783325,0.03260604223640251,1.6111034631729126,1.6316411578655243,1.5743099451065063,3.5970399379730225,622.4041987148256
4,5000,1.5976804099321364,1.592020034790039,0.0391088307306468,1.6142320334911346,1.6968713343143471,1.5743800401687622,2.9497599601745605,620.7384081382328
5,5000,1.5978434300661086,1.5925099849700928,0.046917210845363336,1.6145945489406586,1.7271808815002503,1.575469970703125,3.8883700370788574,620.5950042479475
6,5000,1.5944854572534561,1.5917799472808838,0.032969361089486594,1.612521481513977,1.6342008769512177,1.573390007019043,3.601030111312866,621.9235416999404
7,5000,1.5987513257741928,1.5931600332260132,0.04197325562369537,1.6149954974651337,1.6961385071277644,1.5751399993896484,3.590320110321045,620.3181826340693
8,5000,1.5998277874946594,1.593999981880188,0.04463783855643948,1.618201446533203,1.7806046569347385,1.573140025138855,3.570359945297241,619.8438606124907
9,5000,1.5939065324306487,1.5901299715042114,0.03557155922613849,1.610560554265976,1.63341277718544,1.5728399753570557,3.6053900718688965,622.2282817854325
10,5000,1.597119369673729,1.5922000408172607,0.0429016704424751,1.6145219564437867,1.698278588056566,1.5748900175094604,3.596590042114258,620.89740795897
11,5000,1.5992033024549483,1.5936599969863892,0.04317927378258354,1.6149529457092284,1.6876645755767843,1.5757700204849243,3.654710054397583,620.1552649000329
12,5000,1.5962656782150269,1.5932899713516235,0.03613314130560529,1.6144334554672242,1.639417818784714,1.5734200477600098,3.8424599170684814,621.2602995530066
13,5000,1.5988359380722046,1.5934849977493286,0.04552187302213465,1.6155109643936159,1.765700507164003,1.5754799842834473,3.606640100479126,620.2154910193677
14,5000,1.5985250518321992,1.5927200317382812,0.04209963840177668,1.6154124736785889,1.674681944847108,1.5755900144577026,3.599669933319092,620.4485515182544
15,5000,1.5920178817510604,1.58965003490448,0.03307867668517778,1.609429955482483,1.6296430838108062,1.5733000040054321,3.6287600994110107,622.8724188637269
16,5000,1.602070660853386,1.5965900421142578,0.04205936935369238,1.6189409971237183,1.6739271080493934,1.5729999542236328,3.6359899044036865,619.0328468015122
17,5000,1.5960502566099166,1.59089994430542,0.04197927470451274,1.6123905420303344,1.7531328904628807,1.5737899541854858,2.9333701133728027,621.2907520897724
18,5000,1.5981700713396072,1.5942800045013428,0.02850931995921846,1.615940475463867,1.635820630788803,1.5770900249481201,3.1793999671936035,620.6271896021995
19,5000,1.5986975662469864,1.5934849977493286,0.045507581681171756,1.616344541311264,1.770892847776414,1.5750000476837158,3.8218700885772705,620.2511986590106
20,5000,1.5966863325834275,1.5912649631500244,0.046003248995050684,1.6141904830932616,1.7456007087230698,1.5743800401687622,3.802769899368286,621.071011619837
