,Mark,12V_power
2025-05-04 11:16:46.244257,0.0,10.775
2025-05-04 11:16:47.257271,0.0,12.0
2025-05-04 11:16:48.269160,0.0,11.75
2025-05-04 11:16:49.281882,0.0,11.687
2025-05-04 11:16:50.294794,0.0,11.875
2025-05-04 11:16:51.307302,0.0,11.975
2025-05-04 11:16:52.319389,0.0,11.925
2025-05-04 11:16:53.331506,0.0,11.962
2025-05-04 11:16:54.343637,0.0,11.662
2025-05-04 11:16:55.355393,0.0,11.987
2025-05-04 11:16:56.368090,0.0,11.8
2025-05-04 11:16:57.380100,0.0,12.087
2025-05-04 11:16:58.395419,0.0,11.675
2025-05-04 11:16:59.408524,0.0,11.962
2025-05-04 11:17:00.420572,0.0,11.825
2025-05-04 11:17:01.432294,0.0,11.987
2025-05-04 11:17:02.444364,0.0,11.712
2025-05-04 11:17:03.456456,0.0,11.987
2025-05-04 11:17:04.469304,0.0,11.75
2025-05-04 11:17:05.481128,0.0,11.962
