,Mark,12V_power
2025-05-04 11:15:27.717761,0.0,10.862
2025-05-04 11:15:28.728359,0.0,10.612
2025-05-04 11:15:29.738877,0.0,10.625
2025-05-04 11:15:30.749228,0.0,10.612
2025-05-04 11:15:31.759636,0.0,10.6
2025-05-04 11:15:32.770006,0.0,10.6
2025-05-04 11:15:33.780585,0.0,10.612
2025-05-04 11:15:34.791063,0.0,10.6
2025-05-04 11:15:35.801490,0.0,10.612
2025-05-04 11:15:36.811747,0.0,10.612
2025-05-04 11:15:37.822107,0.0,10.6
2025-05-04 11:15:38.832589,0.0,10.6
2025-05-04 11:15:39.843058,0.0,10.6
2025-05-04 11:15:40.853495,0.0,10.6
2025-05-04 11:15:41.863694,0.0,10.6
