,Mark,12V_power
2025-05-04 11:11:45.498292,0.0,10.812
2025-05-04 11:11:46.508922,0.0,10.587
2025-05-04 11:11:47.519361,0.0,10.587
2025-05-04 11:11:48.529579,0.0,10.587
2025-05-04 11:11:49.539891,0.0,10.6
2025-05-04 11:11:50.549582,0.0,10.687
2025-05-04 11:11:51.560272,0.0,10.575
2025-05-04 11:11:52.570613,0.0,10.587
2025-05-04 11:11:53.580761,0.0,10.587
2025-05-04 11:11:54.591007,0.0,10.575
2025-05-04 11:11:55.601485,0.0,10.6
2025-05-04 11:11:56.611927,0.0,10.575
2025-05-04 11:11:57.622277,0.0,10.587
2025-05-04 11:11:58.632628,0.0,10.587
2025-05-04 11:11:59.643078,0.0,10.587
