,Mark,12V_power
2025-05-04 11:18:54.856460,0.0,10.75
2025-05-04 11:18:55.866963,0.0,10.6
2025-05-04 11:18:56.877416,0.0,10.587
2025-05-04 11:18:57.887655,0.0,10.625
2025-05-04 11:18:58.898097,0.0,10.575
2025-05-04 11:18:59.908567,0.0,10.6
2025-05-04 11:19:00.918904,0.0,10.587
2025-05-04 11:19:01.929343,0.0,10.612
2025-05-04 11:19:02.939583,0.0,10.6
2025-05-04 11:19:03.950033,0.0,10.612
2025-05-04 11:19:04.962669,0.0,10.612
2025-05-04 11:19:05.973174,0.0,10.6
2025-05-04 11:19:06.983523,0.0,10.587
2025-05-04 11:19:07.993745,0.0,10.612
2025-05-04 11:19:09.004186,0.0,10.6
