,Mark,12V_power
2025-05-04 11:14:25.015131,0.0,10.85
2025-05-04 11:14:26.026912,0.0,12.275
2025-05-04 11:14:27.038620,0.0,12.3
2025-05-04 11:14:28.050665,0.0,12.325
2025-05-04 11:14:29.062201,0.0,12.3
2025-05-04 11:14:30.073643,0.0,12.3
2025-05-04 11:14:31.086010,0.0,12.275
2025-05-04 11:14:32.098108,0.0,12.325
2025-05-04 11:14:33.110447,0.0,12.3
2025-05-04 11:14:34.122699,0.0,12.275
2025-05-04 11:14:35.134583,0.0,12.3
2025-05-04 11:14:36.145940,0.0,12.3
2025-05-04 11:14:37.158060,0.0,12.35
2025-05-04 11:14:38.170286,0.0,12.312
2025-05-04 11:14:39.182101,0.0,12.325
2025-05-04 11:14:40.194273,0.0,12.325
2025-05-04 11:14:41.206106,0.0,12.312
2025-05-04 11:14:42.218177,0.0,12.325
2025-05-04 11:14:43.230306,0.0,12.312
2025-05-04 11:14:44.242279,0.0,12.3
