,Mark,12V_power
2025-05-04 11:21:09.844738,0.0,11.212
2025-05-04 11:21:10.867111,0.0,12.787
2025-05-04 11:21:11.887787,0.0,12.812
2025-05-04 11:21:12.908449,0.0,12.837
2025-05-04 11:21:13.929074,0.0,12.8
2025-05-04 11:21:14.949754,0.0,12.625
2025-05-04 11:21:15.970347,0.0,12.712
2025-05-04 11:21:16.990992,0.0,12.787
2025-05-04 11:21:18.011520,0.0,12.812
2025-05-04 11:21:19.032110,0.0,12.7
2025-05-04 11:21:20.052640,0.0,12.837
2025-05-04 11:21:21.073275,0.0,12.625
2025-05-04 11:21:22.093892,0.0,12.637
2025-05-04 11:21:23.114538,0.0,12.687
2025-05-04 11:21:24.135173,0.0,12.85
2025-05-04 11:21:25.155772,0.0,12.687
2025-05-04 11:21:26.176268,0.0,12.825
2025-05-04 11:21:27.196894,0.0,12.687
2025-05-04 11:21:28.217494,0.0,12.837
2025-05-04 11:21:29.238520,0.0,12.675
